b,r,c,Time
2400,100,10,0.06782
2400,100,10,0.055036
2400,100,10,0.051931
2400,100,10,0.051957
2400,100,10,0.053014
2400,100,10,0.052095
2400,100,10,0.061758
2400,100,10,0.052478
2400,100,10,0.052387
2400,100,10,0.052438
2400,100,10,0.052819
2400,100,10,0.052742
2400,100,10,0.051976
2400,100,10,0.052637
2400,100,10,0.051799
2400,100,10,0.052094
2400,100,10,0.05939
2400,100,10,0.052489
2400,100,10,0.052772
2400,100,10,0.052004
2400,100,10,0.053056
2400,100,10,0.05206
2400,100,10,0.065310000000000007
2400,100,10,0.052112
2400,100,10,0.052061
2400,100,10,0.052215
2400,100,10,0.058526
2400,100,10,0.052489
2400,100,10,0.059807
2400,100,10,0.051855
2400,100,10,0.052475
2400,100,10,0.052379
2400,100,10,0.052723
2400,100,10,0.058599
2400,100,10,0.053036
2400,100,10,0.053151
2400,100,10,0.052181
2400,100,10,0.05262
2400,100,10,0.051645
2400,100,10,0.069429
2400,100,10,0.052535
2400,100,10,0.052384
2400,100,10,0.065796
2400,100,10,0.051892
2400,100,10,0.063673
2400,100,10,0.052472
2400,100,10,0.052047
2400,100,10,0.055468
2400,100,10,0.052229
2400,100,10,0.052555
2400,100,10,0.052947
2400,100,10,0.052578
2400,100,10,0.052581
2400,100,10,0.059767
2400,100,10,0.054009
2400,100,10,0.051553
2400,100,10,0.052343
2400,100,10,0.0589
2400,100,10,0.051323
2400,100,10,0.052647
2400,100,10,0.052308
2400,100,10,0.053159
2400,100,10,0.052595
2400,100,10,0.051996
2400,100,10,0.052559
2400,100,10,0.052056
2400,100,10,0.052521
2400,100,10,0.052371
2400,100,10,0.053003
2400,100,10,0.052473
2400,100,10,0.065585
2400,100,10,0.05212
2400,100,10,0.052373
2400,100,10,0.060277
2400,100,10,0.073054
2400,100,10,0.052291
2400,100,10,0.052301
2400,100,10,0.06194
2400,100,10,0.052699
2400,100,10,0.052425
2400,100,10,0.051582
2400,100,10,0.060721
2400,100,10,0.052673
2400,100,10,0.054104
2400,100,10,0.061032
2400,100,10,0.053962
2400,100,10,0.052173
2400,100,10,0.052703
2400,100,10,0.052443
2400,100,10,0.052582
2400,100,10,0.052335
2400,100,10,0.052479
2400,100,10,0.053181
2400,100,10,0.052131
2400,100,10,0.052791
2400,100,10,0.062272
2400,100,10,0.052731
2400,100,10,0.051787
2400,100,10,0.056656
2400,100,10,0.052509
