b,r,c,Time
2400,500,100,2.439576
2400,500,100,2.440438
2400,500,100,2.441513
2400,500,100,2.440828
2400,500,100,2.440501
2400,500,100,2.440706
2400,500,100,2.440534
2400,500,100,2.440857
2400,500,100,2.440276
2400,500,100,2.441166
2400,500,100,2.440411
2400,500,100,2.441384
2400,500,100,2.4395
2400,500,100,2.440686
2400,500,100,2.4403
2400,500,100,2.440399
2400,500,100,2.442239
2400,500,100,2.440021
2400,500,100,2.440567
2400,500,100,2.439421
2400,500,100,2.440272
2400,500,100,2.44038
2400,500,100,2.443216
2400,500,100,2.436684
2400,500,100,2.441003
2400,500,100,2.439665
2400,500,100,2.44026
2400,500,100,2.44068
2400,500,100,2.44059
2400,500,100,2.440532
2400,500,100,2.435493
2400,500,100,2.441057
2400,500,100,2.440998
2400,500,100,2.439211
2400,500,100,2.44038
2400,500,100,2.439809
2400,500,100,2.44062
2400,500,100,2.442096
2400,500,100,2.440819
2400,500,100,2.440395
2400,500,100,2.440644
2400,500,100,2.468687
2400,500,100,2.444376
2400,500,100,2.440658
2400,500,100,2.44049
2400,500,100,2.440252
2400,500,100,2.440841
2400,500,100,2.44024
2400,500,100,2.435157
2400,500,100,2.44318
2400,500,100,2.44031
2400,500,100,2.440406
2400,500,100,2.440155
2400,500,100,2.446039
2400,500,100,2.440758
2400,500,100,2.440048
2400,500,100,2.441253
2400,500,100,2.434956
2400,500,100,2.449658
2400,500,100,2.862757
2400,500,100,2.439639
2400,500,100,2.440518
2400,500,100,2.521578
2400,500,100,2.440694
2400,500,100,2.440521
2400,500,100,2.441002
2400,500,100,2.440261
2400,500,100,2.440448
2400,500,100,2.440624
2400,500,100,2.440552
2400,500,100,2.440527
2400,500,100,2.439657
2400,500,100,2.44042
2400,500,100,2.440632
2400,500,100,2.440408
2400,500,100,2.4404
2400,500,100,2.443626
2400,500,100,2.443547
2400,500,100,2.440387
2400,500,100,2.440274
2400,500,100,2.440569
2400,500,100,2.439599
2400,500,100,2.440093
2400,500,100,2.440775
2400,500,100,2.44054
2400,500,100,2.440927
2400,500,100,2.442337
2400,500,100,2.440013
2400,500,100,2.440681
2400,500,100,2.440206
2400,500,100,2.440901
2400,500,100,2.438883
2400,500,100,2.433958
2400,500,100,2.439473
2400,500,100,2.44022
2400,500,100,2.440401
2400,500,100,2.440464
2400,500,100,2.440403
2400,500,100,2.440883
2400,500,100,2.440719
