Dim,b,r,c,Time
1,800,300,100,0.486585
1,800,300,100,0.487818
1,800,300,100,0.494318
1,800,300,100,0.494776
1,800,300,100,0.547645
1,800,300,100,0.488878
1,800,300,100,0.543504
1,800,300,100,0.49124
1,800,300,100,0.488781
1,800,300,100,0.504124
1,800,300,100,0.491531
1,800,300,100,0.577184
1,800,300,100,0.491449
1,800,300,100,0.495456
1,800,300,100,0.491738
1,800,300,100,0.492156
1,800,300,100,0.496922
1,800,300,100,0.491175
1,800,300,100,0.494625
1,800,300,100,0.491452
1,800,300,100,0.497248
1,800,300,100,0.491023
1,800,300,100,0.489817
1,800,300,100,0.491962
1,800,300,100,0.526321
1,800,300,100,0.490021
1,800,300,100,0.491676
1,800,300,100,0.487622
1,800,300,100,0.495926
1,800,300,100,0.494346
1,800,300,100,0.489707
1,800,300,100,0.493074
1,800,300,100,0.492054
1,800,300,100,0.496338
1,800,300,100,0.493398
1,800,300,100,0.495674
1,800,300,100,0.496946
1,800,300,100,0.491288
1,800,300,100,0.495715
1,800,300,100,0.497912
1,800,300,100,0.490102
1,800,300,100,0.496864
1,800,300,100,0.490213
1,800,300,100,0.494157
1,800,300,100,0.491405
1,800,300,100,0.501539
1,800,300,100,0.488728
1,800,300,100,0.492909
1,800,300,100,0.48685
1,800,300,100,0.493753
1,800,300,100,0.492155
1,800,300,100,0.493427
1,800,300,100,0.493422
1,800,300,100,0.490736
1,800,300,100,0.48569
1,800,300,100,0.493891
1,800,300,100,0.489457
1,800,300,100,0.490679
1,800,300,100,0.499437
1,800,300,100,0.496018
1,800,300,100,0.554853
1,800,300,100,0.488915
1,800,300,100,0.49547
1,800,300,100,0.491313
1,800,300,100,0.491659
1,800,300,100,0.492881
1,800,300,100,0.498067
1,800,300,100,0.545916
1,800,300,100,0.492705
1,800,300,100,0.489502
1,800,300,100,0.495955
1,800,300,100,0.492395
1,800,300,100,0.491024
1,800,300,100,0.510192
1,800,300,100,0.490344
1,800,300,100,0.48909
1,800,300,100,0.488916
1,800,300,100,0.488825
1,800,300,100,0.487584
1,800,300,100,0.488647
1,800,300,100,0.495933
1,800,300,100,0.490808
1,800,300,100,0.502904
1,800,300,100,0.492253
1,800,300,100,0.489624
1,800,300,100,0.492675
1,800,300,100,0.49028
1,800,300,100,0.495319
1,800,300,100,0.490125
1,800,300,100,0.546837
1,800,300,100,0.489562
1,800,300,100,0.495507
1,800,300,100,0.544698
1,800,300,100,0.49663
1,800,300,100,0.490896
1,800,300,100,0.497655
1,800,300,100,0.495403
1,800,300,100,0.493673
1,800,300,100,0.496407
1,800,300,100,0.49238
2,800,300,100,0.545509
2,800,300,100,0.492982
2,800,300,100,0.495186
2,800,300,100,0.49054
2,800,300,100,0.492668
2,800,300,100,0.500748
2,800,300,100,0.49709
2,800,300,100,0.510009
2,800,300,100,0.497405
2,800,300,100,0.486103
2,800,300,100,0.492328
2,800,300,100,0.49058
2,800,300,100,0.490554
2,800,300,100,0.49057
2,800,300,100,0.49528
2,800,300,100,0.489185
2,800,300,100,0.492448
2,800,300,100,0.494101
2,800,300,100,0.488743
2,800,300,100,0.48768
2,800,300,100,0.495579
2,800,300,100,0.487216
2,800,300,100,0.490479
2,800,300,100,0.488752
2,800,300,100,0.488847
2,800,300,100,0.54172
2,800,300,100,0.488372
2,800,300,100,0.506093
2,800,300,100,0.491743
2,800,300,100,0.493124
2,800,300,100,0.495694
2,800,300,100,0.492472
2,800,300,100,0.495637
2,800,300,100,0.489659
2,800,300,100,0.491083
2,800,300,100,0.489989
2,800,300,100,0.495977
2,800,300,100,0.493294
2,800,300,100,0.490949
2,800,300,100,0.492354
2,800,300,100,0.490365
2,800,300,100,0.501721
2,800,300,100,0.487909
2,800,300,100,0.501036
2,800,300,100,0.493974
2,800,300,100,0.492533
2,800,300,100,0.490031
2,800,300,100,0.491395
2,800,300,100,0.48801
2,800,300,100,0.492934
2,800,300,100,0.54289
2,800,300,100,0.488732
2,800,300,100,0.490618
2,800,300,100,0.493005
2,800,300,100,0.489864
2,800,300,100,0.48964
2,800,300,100,0.491478
2,800,300,100,0.506742
2,800,300,100,0.488034
2,800,300,100,0.489205
2,800,300,100,0.49046
2,800,300,100,0.501744
2,800,300,100,0.492552
2,800,300,100,0.491182
2,800,300,100,0.493041
2,800,300,100,0.493577
2,800,300,100,0.576143
2,800,300,100,0.492021
2,800,300,100,0.489905
2,800,300,100,0.492345
2,800,300,100,0.549633
2,800,300,100,0.494654
2,800,300,100,0.495935
2,800,300,100,0.544525
2,800,300,100,0.491527
2,800,300,100,0.494858
2,800,300,100,0.491094
2,800,300,100,0.543853
2,800,300,100,0.495712
2,800,300,100,0.490723
2,800,300,100,0.492143
2,800,300,100,0.509463
2,800,300,100,0.489931
2,800,300,100,0.488621
