Dim,b,r,c,Time
1,1200,200,100,0.507157
1,1200,200,100,0.497958
1,1200,200,100,0.501151
1,1200,200,100,0.50214
1,1200,200,100,0.497096
1,1200,200,100,0.498051
1,1200,200,100,0.501077
1,1200,200,100,0.5002
1,1200,200,100,0.495961
1,1200,200,100,0.492004
1,1200,200,100,0.496578
1,1200,200,100,0.496396
1,1200,200,100,0.499578
1,1200,200,100,0.497047
1,1200,200,100,0.498352
1,1200,200,100,0.501771
1,1200,200,100,0.495962
1,1200,200,100,0.49755
1,1200,200,100,0.498973
1,1200,200,100,0.496695
1,1200,200,100,0.500529
1,1200,200,100,0.497773
1,1200,200,100,0.496025
1,1200,200,100,0.498513
1,1200,200,100,0.501288
1,1200,200,100,0.494301
1,1200,200,100,0.496226
1,1200,200,100,0.498516
1,1200,200,100,0.495453
1,1200,200,100,0.519719
1,1200,200,100,0.503318
1,1200,200,100,0.501948
1,1200,200,100,0.50236
1,1200,200,100,0.504366
1,1200,200,100,0.493853
1,1200,200,100,0.501407
1,1200,200,100,0.503603
1,1200,200,100,0.498568
1,1200,200,100,0.50081
1,1200,200,100,0.495552
1,1200,200,100,0.499087
1,1200,200,100,0.495967
1,1200,200,100,0.496396
1,1200,200,100,0.498671
1,1200,200,100,0.498175
1,1200,200,100,0.506703
1,1200,200,100,0.500402
1,1200,200,100,0.493181
1,1200,200,100,0.506862
1,1200,200,100,0.495468
1,1200,200,100,0.495336
1,1200,200,100,0.500254
1,1200,200,100,0.497948
1,1200,200,100,0.502688
1,1200,200,100,0.495012
1,1200,200,100,0.499417
1,1200,200,100,0.496919
1,1200,200,100,0.501293
1,1200,200,100,0.496213
1,1200,200,100,0.500581
1,1200,200,100,0.525219
1,1200,200,100,0.498273
1,1200,200,100,0.496453
1,1200,200,100,0.502213
1,1200,200,100,0.498525
1,1200,200,100,0.504909
1,1200,200,100,0.504139
1,1200,200,100,0.498119
1,1200,200,100,0.498581
1,1200,200,100,0.511066
1,1200,200,100,0.50139
1,1200,200,100,0.499326
1,1200,200,100,0.499471
1,1200,200,100,0.496744
1,1200,200,100,0.501895
1,1200,200,100,0.496896
1,1200,200,100,0.494346
1,1200,200,100,0.501692
1,1200,200,100,0.645359
1,1200,200,100,0.505079
1,1200,200,100,0.498148
1,1200,200,100,0.496731
1,1200,200,100,0.498096
1,1200,200,100,0.495932
1,1200,200,100,0.505248
1,1200,200,100,0.498557
1,1200,200,100,0.493444
1,1200,200,100,0.496282
1,1200,200,100,0.493947
1,1200,200,100,0.548913
1,1200,200,100,0.500422
1,1200,200,100,0.497888
1,1200,200,100,0.501694
1,1200,200,100,0.49867
1,1200,200,100,0.500889
1,1200,200,100,0.495418
1,1200,200,100,0.496144
1,1200,200,100,0.507014
1,1200,200,100,0.492993
1,1200,200,100,0.500729
2,1200,200,100,0.494393
2,1200,200,100,0.498812
2,1200,200,100,0.507083
2,1200,200,100,0.495715
2,1200,200,100,0.509013
2,1200,200,100,0.501183
2,1200,200,100,0.496003
2,1200,200,100,0.498691
2,1200,200,100,0.495404
2,1200,200,100,0.495177
2,1200,200,100,0.497924
2,1200,200,100,0.497068
2,1200,200,100,0.501255
2,1200,200,100,0.496007
2,1200,200,100,0.497911
2,1200,200,100,0.495394
2,1200,200,100,0.508459
2,1200,200,100,0.494717
2,1200,200,100,0.500905
2,1200,200,100,0.499012
2,1200,200,100,0.496099
2,1200,200,100,0.495795
2,1200,200,100,0.498241
2,1200,200,100,0.495061
2,1200,200,100,0.500627
2,1200,200,100,0.497893
2,1200,200,100,0.494642
2,1200,200,100,0.494031
2,1200,200,100,0.49908
2,1200,200,100,0.495847
2,1200,200,100,0.502557
2,1200,200,100,0.501048
2,1200,200,100,0.495365
2,1200,200,100,0.499156
2,1200,200,100,0.493684
2,1200,200,100,0.500156
2,1200,200,100,0.498255
2,1200,200,100,0.497286
2,1200,200,100,0.495583
2,1200,200,100,0.499251
2,1200,200,100,0.49555
