Procs,Time
1,0.18502
2,0.761
3,1.580222
4,2.112786
5,2.722466
6,3.213784
7,3.698932
8,4.235061
9,4.893653
10,5.307678
11,5.908434
12,6.57125
13,10.677316
14,12.859209
15,12.459265
16,12.885479
17,13.208547
18,14.408282
19,15.204271
20,16.436296
21,16.856392
22,17.37753
23,18.245185
24,20.102974
25,31.652463
26,33.03668
27,34.355198
28,35.320312
29,36.992148
30,38.155405
31,39.111
32,41.298025
33,41.984477
34,43.161392
35,44.491597
36,46.067806
37,50.409606
38,50.828825
39,50.128653
40,50.861912
41,52.509941
42,53.869756
43,54.754659
44,56.721782
45,57.205655
46,58.973782
47,60.231678
48,61.320892
