Procs,Time
1,0.177536
2,0.735697
3,2.820664
4,3.417058
5,4.596186
6,5.424112
7,6.489264
8,6.889929
9,8.330224
10,8.904573
11,10.151326
12,10.775697
13,11.860656
14,12.548334
15,13.958428
16,14.623718
17,15.982463
18,16.259231
19,18.0712
20,18.291451
21,20.055397
22,20.499825
23,21.90331
24,22.244986
25,31.828975
26,33.347541
27,34.66441
28,36.505719
29,37.624677
30,38.314469
31,40.099478
32,40.896428
33,42.860481
34,44.387598
35,45.679998
36,46.360675
37,48.463072
38,49.991833
39,50.404275
40,52.491178
41,53.851128
42,55.09114
43,55.860695
44,57.677332
45,58.45784
46,60.996431
47,61.731234
48,61.669078
