Procs,Time
1,0.156209
2,0.667642
3,2.688022
4,3.330954
5,4.528194
6,4.977915
7,6.365864
8,6.664569
9,7.999116
10,8.637586
11,10.121948
12,10.208528
13,11.645489
14,12.022932
15,13.751592
16,14.112578
17,15.611832
18,16.032007
19,17.862899
20,17.695786
21,19.718889
22,19.697195
23,21.598076
24,21.531374
25,31.710011
26,33.641238
27,34.97454
28,35.983219
29,37.612258
30,38.146183
31,39.991997
32,41.169859
33,42.861004
34,44.6132
35,45.433589
36,46.034751
37,48.617005
38,49.538766
39,50.665891
40,52.489254
41,53.227672
42,55.145864
43,56.022558
44,57.836258
45,58.269721
46,60.380573
47,60.950657
48,61.723767
