Procs,Time
1,0.135834
2,1.191632
3,4.034627
4,5.307868
5,6.615971
6,7.9894
7,9.296854
8,10.629805
9,12.206058
10,13.551815
11,14.868349
12,16.143066
13,17.803023
14,18.736623
15,20.55705
16,21.877988
17,23.379428
18,24.781566
19,26.157843
20,27.417445
21,28.922993
22,30.302527
23,31.833501
24,33.485408
25,62.609241
26,65.715456
27,67.901411
28,70.179026
29,71.897298
30,75.469158
31,78.283434
32,80.252282
33,82.761397
34,85.964184
35,87.591987
36,90.444921
37,94.258307
38,95.57872
39,97.666966
40,100.672576
41,103.052563
42,106.273735
43,109.185631
44,110.330225
45,113.381097
46,116.726863
47,117.638444
48,121.493997
