Procs,Time
1,0.134479
2,0.632304
3,2.646052
4,3.164053
5,4.404963
6,4.985942
7,6.307218
8,6.677107
9,7.907277
10,8.377145
11,9.647993
12,9.897417
13,11.366001
14,11.590568
15,13.593938
16,13.750358
17,15.30196
18,15.633453
19,16.752169
20,17.259168
21,19.15735
22,19.3392
23,20.961179
24,21.290263
25,31.525577
26,32.924974
27,34.08573
28,36.209429
29,37.088201
30,37.862727
31,39.366241
32,40.474614
33,42.375126
34,43.673013
35,44.8951
36,45.251959
37,47.705977
38,48.895761
39,49.85049
40,51.64604
41,52.913757
42,54.334753
43,55.533435
44,57.577789
45,57.998055
46,59.710426
47,60.77654
48,60.763535
