"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.29,0,0.53,0,0
"2",1,1000,0.29,3.43,0.53,333.333333333334,3.42260458741923
"3",2,1000,0.29,6.79,0.53,666.666666666667,6.84110820087652
"4",4,1000,0.3,13.56,0.53,307.692307692308,13.665841953409
"5",8,1000,0.29,27.37,0.53,2666.66666666667,27.2664207090554
"6",16,1000,0.29,54.74,0.53,5333.33333333334,54.2736497816883
"7",32,1000,0.3,106.09,0.53,2461.53846153846,107.525176899947
"8",64,1000,0.3,210.87,0.53,4923.07692307692,211.075224586979
"9",128,1000,0.3,424.81,0.54,9846.15384615384,407.100243113913
"10",256,1000,0.31,822.93,0.55,11130.4347826087,760.009831701017
"11",512,1000,0.57,895.71,0.56,1809.18727915194,1341.45368502557
"12",1024,1000,0.62,1649.23,0.6,3075.07507507507,2172.4787245621
"13",2048,1000,0.74,2753.07,0.67,4520.97130242826,3147.37015703764
"14",4096,1000,0.97,4242.48,0.81,5997.07174231332,4057.84021482495
"15",8192,1000,1.53,5350.97,1.09,6590.50683829445,4744.0134266114
"16",16384,1000,2.42,6768.68,1.66,7681.2001875293,5182.16024230722
"17",32768,1000,3.64,9007.63,2.78,9772.74082910826,5433.05274023837
"18",65536,640,5.83,11236.64,5.04,11823.2004329785,5567.83514786365
"19",131072,320,8.81,14874.64,9.55,15378.622550745,5637.76559552562
"20",262144,160,15.42,17002.44,-123.15,17322.6723055574,5673.39371233674
"21",524288,80,42.97,12201.24,-71.31,12283.2978000609,5691.37717114093
"22",1048576,40,84.44,12418.31,32.35,12460.3519779449,5700.41172123153
"23",2097152,20,161.66,12972.9,239.68,12995.6808140147,5704.93976097345
"24",4194304,10,397.45,10553.01,654.35,10560.6614916294,5707.20647950348
"25",8388608,5,1035.69,8099.51,1483.68,8101.78065931816,5708.34051437166
"26",16777216,2,2157.46,7776.36,3142.34,7777.40867329602,5708.90770082401
"27",33554432,1,5910.32,5677.26,6459.67,5677.53716434409,5709.19133631945
"28",67108864,1,12380.77,5420.41,13094.32,5420.53682396721,5709.33316463632
"29",134217728,1,25689.32,5224.65,26363.62,5224.70923681713,5709.40408143728
"30",268435456,1,52436.84,5119.21,52902.21,5119.24298303895,5709.43954049841
"31",536870912,1,106543.92,5038.96,105979.4,5038.97696073495,5709.45727019415
