"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.27,0,0.51,0,0
"2",1,1000,0.28,3.51,0.51,200,3.56918999696043
"3",2,1000,0.28,7.04,0.51,400,7.13390845403036
"4",4,1000,0.29,14,0.51,266.666666666667,14.2499643185536
"5",8,1000,0.28,28.11,0.51,1600,28.428785666328
"6",16,1000,0.28,56.57,0.51,3200,56.5751199513364
"7",32,1000,0.29,109.35,0.52,2133.33333333334,112.037106340921
"8",64,1000,0.3,216.65,0.52,2560,219.750550388916
"9",128,1000,0.3,424.59,0.52,5120.00000000001,423.170387604976
"10",256,1000,0.32,798.38,0.53,5688.88888888889,787.79589859449
"11",512,1000,0.53,963.6,0.55,2007.8431372549,1384.10351725656
"12",1024,1000,0.61,1672.5,0.58,3056.71641791045,2226.91451171027
"13",2048,1000,0.74,2768.04,0.65,4404.30107526882,3201.71034338759
"14",4096,1000,0.94,4374.81,0.8,6159.3984962406,4098.80264603635
"15",8192,1000,1.46,5594.2,1.08,6913.08016877637,4766.58052765263
"16",16384,1000,2.37,6904.26,1.65,7820.52505966587,5189.30164379524
"17",32768,1000,3.61,9068.84,2.78,9825.48725637181,5430.08336207825
"18",65536,640,5.92,11071.84,5.05,11609.5659875996,5559.0523711896
"19",131072,320,8.82,14857.09,9.58,15339.0286717379,5625.86182666214
"20",262144,160,15.39,17036.35,-123.05,17343.3013562686,5659.87238881302
"21",524288,80,43.31,12105.94,-71.21,12182.827930754,5677.0323429036
"22",1048576,40,84.79,12366.66,32.47,12406.9810092883,5685.65139915453
"23",2097152,20,161.43,12991.25,239.82,13013.260525581,5689.97074903575
"24",4194304,10,406.59,10315.73,654.53,10322.7889691496,5692.13288594662
"25",8388608,5,1058.02,7928.57,1483.95,7930.65247294953,5693.21457071335
"26",16777216,2,2175.92,7710.42,3142.79,7711.37570697425,5693.75556727703
"27",33554432,1,5978.8,5612.23,6460.46,5612.4933825651,5694.02610411678
"28",67108864,1,12307.58,5452.65,13095.8,5452.76679175498,5694.16138217772
"29",134217728,1,25655.27,5231.59,26366.5,5231.64116773361,5694.22902361867
"30",268435456,1,52409.61,5121.87,52907.88,5121.90158489895,5694.26284494178
"31",536870912,1,106584.97,5037.02,105990.65,5037.03568321887,5694.279755754
