"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.49,0,0.7,0,0
"2",1,1000,0.51,1.94,0.7,76.9230769230769,1.99133331440929
"3",2,1000,0.5,3.97,0.7,666.666666666667,3.98127049214445
"4",4,1000,0.51,7.89,0.7,307.692307692308,7.95696230652037
"5",8,1000,0.5,16.16,0.7,2666.66666666667,15.8916567384197
"6",16,1000,0.51,31.42,0.7,1230.76923076923,31.6946148400689
"7",32,1000,0.48,66.4,0.7,-1882.35294117647,63.0373890529084
"8",64,1000,0.49,130.33,0.7,-9142.85714285713,124.690592917167
"9",128,1000,0.46,276.75,0.71,-3459.45945945946,244.022891694153
"10",256,1000,0.51,501.61,0.72,19692.3076923077,467.937246357025
"11",512,1000,0.77,668.66,0.73,1875.45787545788,864.625618681211
"12",1024,1000,0.85,1203.43,0.77,2900.84985835694,1500.74534872256
"13",2048,1000,0.95,2147.43,0.84,4520.97130242826,2374.06545677594
"14",4096,1000,1.15,3573.29,0.98,6272.58805513017,3348.29144766795
"15",8192,1000,1.61,5081.16,1.25,7360.28751123091,4212.6461731443
"16",16384,1000,2.4,6829.74,1.81,8609.56384655807,4836.97370637331
"17",32768,1000,3.52,9301.96,2.91,10839.5633476679,5224.08683080864
"18",65536,640,5.85,11197.07,5.12,12242.8544741267,5441.84807351125
"19",131072,320,8.93,14675.25,9.55,15542.7487252461,5557.68148770437
"20",262144,160,15.43,16988.69,-117.88,17554.677559767,5617.46728157003
"21",524288,80,42.66,12291.34,-65.91,12434.7887958637,5647.84513841352
"22",1048576,40,84.99,12338.3,38.03,12410.2114968104,5663.15760775847
"23",2097152,20,162.13,12935,245.92,12974.7761905057,5670.84502113632
"24",4194304,10,406.32,10322.6,661.68,10335.3038147173,5674.69655955964
"25",8388608,5,1018.87,8233.26,1493.21,8237.26473502341,5676.62429136076
"26",16777216,2,2161.77,7760.88,3156.27,7762.65469471002,5677.58864849215
"27",33554432,1,6007.03,5585.86,6482.39,5586.32275890268,5678.07094993858
"28",67108864,1,12428.42,5399.63,13134.62,5399.84549308843,5678.31213139111
"29",134217728,1,25816.64,5198.88,26439.09,5198.98452685206,5678.43272980085
"30",268435456,1,52653.9,5098.11,53048.04,5098.15967640306,5678.49303092673
"31",536870912,1,106777.06,5027.96,106265.92,5027.98457747699,5678.52318196994
