"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.26,0,0.6,0,0
"2",1,1000,0.28,3.55,0.6,111.111111111111,3.62019930349425
"3",2,1000,0.28,7.08,0.6,222.222222222222,7.23443025819661
"4",4,1000,0.28,14.31,0.6,444.444444444444,14.4450460614469
"5",8,1000,0.28,28.72,0.6,888.888888888888,28.7953031175011
"6",16,1000,0.29,55.36,0.6,842.105263157897,57.2151579400331
"7",32,1000,0.29,109.7,0.6,1684.21052631579,112.957516417945
"8",64,1000,0.32,200.91,0.6,1306.12244897959,220.245598192498
"9",128,1000,0.37,341.83,0.61,1292.92929292929,419.439183949782
"10",256,1000,0.43,593.12,0.62,1610.06289308176,765.690416362405
"11",512,1000,0.59,874.34,0.63,1605.01567398119,1303.86874884496
"12",1024,1000,0.69,1491.54,0.67,2443.91408114558,2010.38520330246
"13",2048,1000,0.79,2592.97,0.74,3946.05009633911,2757.46836387816
"14",4096,1000,1.72,2382.87,0.88,2826.77708764665,3386.74600271562
"15",8192,1000,2.04,4009.18,1.17,4630.86489542114,3822.96217931395
"16",16384,1000,2.5,6563.46,1.74,7350.38133692239,4086.10962471203
"17",32768,1000,3.51,9331.02,2.89,10116.7026860142,4231.75256123808
"18",65536,640,5.49,11942.48,5.18,12557.1948649166,4308.53808543224
"19",131072,320,9.29,14112.46,9.77,14532.8750415789,4347.98537486686
"20",262144,160,16.9,15509.04,-6.63,15764.2672439714,4367.98113825448
"21",524288,80,37.14,14118.21,53.61,14220.2934714801,4378.04814714507
"22",1048576,40,97.89,10711.73,174.11,10741.5154836661,4383.09907295486
"23",2097152,20,230.28,9107.1,415.09,9117.69539452804,4385.62890879759
"24",4194304,10,550.76,7615.53,897.06,7619.23308185995,4386.89492216252
"25",8388608,5,1631.4,5141.98,1861,5142.82316113563,4387.52820298261
"26",16777216,2,3743.97,4481.13,3788.89,4481.45430495347,4387.84491196169
"27",33554432,1,7718.91,4347.04,7644.65,4347.19540582219,4388.00328359782
"28",67108864,1,15345.17,4373.29,15356.18,4373.36628934475,4388.08247370308
"29",134217728,1,30574,4389.93,30779.23,4389.9691790949,4388.12206982757
"30",268435456,1,61065.4,4395.87,61625.35,4395.88780693479,4388.14186815779
"31",536870912,1,123654.14,4341.71,123317.58,4341.72352504393,4388.1517673899
