"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,5.07,0,5.17,0,0
"2",1,1000,5.16,0.19,5.17,30.3030303030299,0.194848319087682
"3",2,1000,5.14,0.39,5.17,153.846153846154,0.389681664095494
"4",4,1000,5.16,0.78,5.17,121.212121212119,0.77930343877552
"5",8,1000,5.13,1.56,5.17,2666.66666666647,1.55836737510641
"6",16,1000,5.17,3.1,5.17,372.093023255812,3.11577718193469
"7",32,1000,5.17,6.19,5.18,744.186046511624,6.22772761896442
"8",64,1000,5.19,12.34,5.19,1015.873015873,12.4401764233779
"9",128,1000,5.24,24.44,5.21,1132.74336283185,24.8194619440863
"10",256,1000,5.28,48.48,5.25,1673.20261437908,49.3971398225197
"11",512,1000,5.33,96.14,5.33,2522.16748768472,97.8411393827178
"12",1024,1000,5.97,171.66,5.49,1214.709371293,191.977976461657
"13",2048,1000,5.71,358.39,5.81,3512.86449399657,369.949524891278
"14",4096,1000,6.59,621.9,6.45,2799.72658920027,689.5877516179
"15",8192,1000,6.99,1171.57,7.74,4397.2088030059,1214.06825041092
"16",16384,1000,9.07,1805.97,10.31,4155.21176768958,1959.07684205402
"17",32768,1000,14.47,2265.33,15.46,3507.22466017339,2826.22964194514
"18",65536,640,30.02,2183.4,25.75,2632.70799019805,3629.49815616488
"19",131072,320,44.64,2936.03,46.33,3317.186748665,4230.72457305503
"20",262144,160,62.6,4187.59,39.3,4561.16785273085,4612.77793564561
"21",524288,80,98.19,5339.4,91.01,5633.68900637203,4830.90406393751
"22",1048576,40,164.7,6366.59,194.43,6571.1367211245,4947.89042183115
"23",2097152,20,319.84,6556.93,401.28,6663.69676498905,5008.53437031506
"24",4194304,10,662.78,6328.37,814.98,6377.68549675893,5039.41724500917
"25",8388608,5,1553.61,5399.42,1642.37,5417.30713220617,5055.00194305088
"26",16777216,2,3317.54,5057.13,3297.14,5064.95295121713,5062.83049550771
"27",33554432,1,6628.41,5062.22,6606.7,5066.13291323955,5066.75387169206
"28",67108864,1,13245.81,5066.42,13225.82,5068.38385905017,5068.71784094602
"29",134217728,1,26310.1,5101.38,26464.05,5102.37087108966,5069.70039663728
"30",268435456,1,52964.39,5068.23,52940.51,5068.71585429729,5070.19181734586
"31",536870912,1,105918.42,5068.72,105893.44,5068.96629113401,5070.437563428
