"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.23,0,0.45,0,0
"2",1,1000,0.22,4.63,0.45,333.333333333334,4.50138063273843
"3",2,1000,0.22,9.24,0.45,666.666666666667,8.99652218155372
"4",4,1000,0.21,19.01,0.45,-571.428571428571,17.9681398412376
"5",8,1000,0.23,34.22,0.45,615.384615384615,35.8370741030593
"6",16,1000,0.22,74.17,0.45,5333.33333333334,71.280594242524
"7",32,1000,0.25,126.51,0.45,969.69696969697,141.012622429835
"8",64,1000,0.25,255.83,0.46,1939.39393939394,276.028543550507
"9",128,1000,0.36,354.23,0.46,895.104895104895,529.537961288088
"10",256,1000,0.38,678.01,0.48,1570.55214723926,979.190978249578
"11",512,1000,0.47,1093.59,0.51,2023.71541501976,1701.6714979263
"12",1024,1000,0.55,1858.49,0.56,3075.07507507507,2696.43084645636
"13",2048,1000,0.77,2643.7,0.68,3703.43580470163,3810.07279746729
"14",4096,1000,1.15,3571.21,0.91,4390.13933547696,4801.62199558804
"15",8192,1000,1.9,4322.2,1.36,4867.49851455734,5519.88030464615
"16",16384,1000,2.95,5560.2,2.28,5994.87742407611,5966.1049847599
"17",32768,1000,4.72,6948.76,4.1,7276.92649344881,6217.41137633184
"18",65536,640,8.07,8125.9,7.76,8345.34572774736,6351.17459143568
"19",131072,320,14.63,8957.97,15.07,9094.01234996184,6420.23803515305
"20",262144,160,14.03,18681.78,-7.32,18978.0641424745,6455.33608940022
"21",524288,80,24.86,21093.69,33.63,21275.3317372073,6473.02941606074
"22",1048576,40,58.11,18043.53,115.55,18112.3106420465,6481.91250081989
"23",2097152,20,158.78,13207.62,279.37,13225.9858857363,6486.36319232093
"24",4194304,10,325.64,12880.27,607.02,12888.7755321535,6488.59083085052
"25",8388608,5,912.96,9188.33,1262.31,9190.547613074,6489.70522399919
"26",16777216,2,2434.46,6891.57,2572.91,6892.16976283798,6490.26256413075
"27",33554432,1,5246.28,6395.85,5194.09,6396.11685944298,6490.54127009662
"28",67108864,1,10490.6,6397.05,10436.46,6397.17958819997,6490.68063205593
"29",134217728,1,20813.02,6448.74,20921.2,6448.80595852466,6490.75031527984
"30",268435456,1,41876.25,6410.21,41890.68,6410.24081722354,6490.78515745289
"31",536870912,1,83866.4,6401.5,83829.63,6401.51838077572,6490.80257867969
