"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,1.28,0,1.88,0,0
"2",1,1000,1.27,0.78,1.88,-142.857142857143,0.77998116543413
"3",2,1000,1.29,1.55,1.88,153.846153846154,1.55986227207797
"4",4,1000,1.29,3.11,1.88,307.692307692308,3.11932438600031
"5",8,1000,1.28,6.26,1.88,2666.66666666667,6.23704875514585
"6",16,1000,1.28,12.5,1.88,5333.33333333334,12.4677023645951
"7",32,1000,1.3,24.59,1.89,1391.30434782609,24.9098634496046
"8",64,1000,1.44,44.57,1.89,392.638036809816,49.7178750815508
"9",128,1000,1.47,86.97,1.9,663.212435233161,99.0308314365725
"10",256,1000,1.72,149.11,1.92,577.878103837472,196.461614866804
"11",512,1000,1.78,287.76,1.97,1017.89264413519,386.675683912082
"12",1024,1000,1.94,527.77,2.05,1544.49472096531,749.516489862972
"13",2048,1000,2.62,781.38,2.22,1524.94415487714,1411.99680709124
"14",4096,1000,3.26,1257.81,2.56,2065.55723651034,2530.18115414031
"15",8192,1000,4.17,1963.38,3.24,2831.662633944,4188.75401821711
"16",16384,1000,5.89,2784,4.6,3551.70171255149,6231.01849779708
"17",32768,1000,10.24,3198.92,7.32,3655.91877719514,8239.68440550142
"18",65536,640,13.36,4904.53,12.75,5423.81858809898,9822.9796904787
"19",131072,320,22.35,5865.32,23.63,6219.90224457837,10867.0586822472
"20",262144,160,33.44,7838.26,24.87,8150.48347480023,11477.0006577394
"21",524288,80,55.8,9395.82,46.42,9615.90521431322,11808.3889521932
"22",1048576,40,97.33,10773.78,89.52,10916.6397717927,11981.3646323889
"23",2097152,20,183.6,11422.57,175.73,11502.3995875452,12069.7668752137
"24",4194304,10,354.15,11843.29,348.14,11886.1573427267,12114.4590025001
"25",8388608,5,695.96,12053.38,692.96,12075.4473623221,12136.9294114039
"26",16777216,2,1385.01,12113.39,1382.59,12124.6049635298,12148.1959041691
"27",33554432,1,2760.28,12156.19,2761.87,12161.7961270792,12153.8369980556
"28",67108864,1,5521.81,12153.41,5520.42,12156.2291177319,12156.6595100641
"29",134217728,1,10998.08,12203.74,11037.51,12205.1588993638,12158.071257734
"30",268435456,1,22052.5,12172.56,22071.7,12173.2683942292,12158.7772545354
"31",536870912,1,44159.24,12157.61,44140.09,12157.9637176651,12159.1302836839
