"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,8.29,0,9.25,0,0
"2",1,1000,8.08,0.12,9.26,-23.2558139534883,0.123025831337507
"3",2,1000,8.14,0.25,9.26,117.647058823526,0.246040334267278
"4",4,1000,8.04,0.5,9.26,-48.1927710843368,0.492035361161855
"5",8,1000,8.09,0.99,9.26,-242.424242424241,0.983889542882755
"6",16,1000,8.06,1.98,9.27,-253.968253968256,1.96705476814252
"7",32,1000,8.07,3.97,9.28,-603.773584905662,3.9312154627988
"8",64,1000,8.1,7.91,9.31,-2782.60869565212,7.85088014194354
"9",128,1000,8.13,15.75,9.36,18285.7142857125,15.655760185304
"10",256,1000,8.41,30.44,9.46,891.98606271777,31.1291277066741
"11",512,1000,10.52,48.65,9.66,213.600333750522,61.5412873953727
"12",1024,1000,10.75,95.24,10.07,389.798248953179,120.311551602909
"13",2048,1000,12.98,157.72,10.88,421.65946057237,230.25538056507
"14",4096,1000,14.77,277.34,12.5,616.217842635776,423.975144659123
"15",8192,1000,17.14,477.87,15.74,908.506155040479,731.827980465265
"16",16384,1000,26.85,610.15,22.22,874.886527473701,1148.96625364815
"17",32768,1000,35.89,913.01,35.19,1180.10588108186,1606.94016522504
"18",65536,640,60.79,1078.07,61.12,1244.34655476864,2006.91474881093
"19",131072,320,112.2,1168.23,112.99,1259.37527023262,2292.18190526866
"20",262144,160,136.76,1916.86,226.62,2037.8584699581,2467.55357787846
"21",524288,80,243.2,2155.77,320.85,2230.28199270877,2565.70276587185
"22",1048576,40,441.42,2375.45,509.3,2419.99367639287,2617.76475292673
"23",2097152,20,868.01,2416.04,886.21,2438.86929329086,2644.59617975985
"24",4194304,10,1516.53,2765.72,1640.03,2780.6182283694,2658.21921719145
"25",8388608,5,3153.88,2659.77,3147.67,2666.6420832887,2665.08350380893
"26",16777216,2,7287.88,2302.07,6162.96,2304.63956420523,2668.52895847639
"27",33554432,1,12329.87,2721.39,12193.53,2723.18787262878,2670.2550287175
"28",67108864,1,24134.53,2780.62,24254.66,2781.55234635642,2671.11890145751
"29",134217728,1,50564.1,2654.41,48376.93,2654.83402684513,2671.55104746952
"30",268435456,1,96307.8,2787.27,96621.48,2787.50110449488,2671.76717291571
"31",536870912,1,192693.19,2786.14,193110.57,2786.26112733479,2671.87524875256
