"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,15.15,0,19.36,0,0
"2",1,1000,15.23,0.07,19.37,32.2580645161292,0.0657700803231616
"3",2,1000,15.21,0.13,19.37,181.818181818178,0.131535991117635
"4",4,1000,15.21,0.26,19.37,363.636363636356,0.263055305706391
"5",8,1000,15.22,0.53,19.37,380.952380952381,0.526043917981463
"6",16,1000,15.26,1.05,19.38,262.295081967217,1.0518211636662
"7",32,1000,15.28,2.09,19.39,395.061728395068,2.10257644885441
"8",64,1000,15.38,4.16,19.42,353.591160220994,4.20089585797814
"9",128,1000,15.82,8.09,19.48,206.119162640902,8.38481516734078
"10",256,1000,15.82,16.19,19.6,412.238325281804,16.7021341145029
"11",512,1000,16.01,31.98,19.83,631.319358816275,33.1375173084682
"12",1024,1000,16.48,62.13,20.29,799.375487900078,65.2331908861184
"13",2048,1000,38.19,53.63,21.22,89.0783350006524,126.489549619767
"14",4096,1000,38.95,105.15,23.07,172.455896593828,238.442831635667
"15",8192,1000,39.15,209.23,26.78,342.031647947894,427.730567032701
"16",16384,1000,41.09,398.71,34.2,632.806766830173,709.24911270559
"17",32768,1000,45.55,719.43,49.03,1079.63493789332,1057.13543925941
"18",65536,640,80.67,812.43,78.69,1000.99280597516,1400.64270368112
"19",131072,320,135.55,966.94,138.01,1089.08110443619,1672.35087508436
"20",262144,160,202.97,1291.55,210.15,1396.08352727524,1851.98223472597
"21",524288,80,315.8,1660.2,334.39,1744.13258771594,1957.09019309923
"22",1048576,40,527.67,1987.16,582.88,2046.11773153993,2014.24883610589
"23",2097152,20,934.99,2242.98,1079.85,2280.03100704399,2044.09874046612
"24",4194304,10,1956.42,2143.87,2073.8,2160.65249654728,2059.35793693657
"25",8388608,5,3958.48,2119.15,4061.69,2127.31682068815,2067.07328766569
"26",16777216,2,8289.81,2023.84,8037.47,2027.55344027653,2070.95268279282
"27",33554432,1,16352.2,2051.98,15989.05,2053.89177609771,2072.89784599792
"28",67108864,1,32398.6,2071.35,31892.19,2072.322916299,2073.87179850491
"29",134217728,1,64498,2080.96,63698.48,2081.45002882241,2074.35911804826
"30",268435456,1,127244.44,2109.6,127311.07,2109.85661700206,2074.60286371299
"31",536870912,1,254279.02,2111.35,254536.23,2111.47189516986,2074.72475802745
