"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,1.36,0,2.19,0,0
"2",1,1000,1.36,0.73,2.19,333.333333333334,0.734170002090316
"3",2,1000,1.36,1.47,2.19,666.666666666667,1.46825123789092
"4",4,1000,1.36,2.94,2.19,1333.33333333333,2.93614747500998
"5",8,1000,1.37,5.86,2.19,615.384615384615,5.87087546181069
"6",16,1000,1.36,11.74,2.19,5333.33333333334,11.7360770863265
"7",32,1000,1.39,22.96,2.19,969.696969696976,23.4494916921806
"8",64,1000,1.7,37.73,2.2,186.588921282799,46.8085955252641
"9",128,1000,1.73,73.96,2.21,343.163538873995,93.2577220288067
"10",256,1000,2,128.19,2.23,398.133748055988,185.094005106168
"11",512,1000,2.08,246.42,2.28,708.160442600277,364.630296649756
"12",1024,1000,2.28,449.51,2.36,1109.42578548212,708.001820924749
"13",2048,1000,2.99,684.91,2.54,1254.13349663197,1337.99547442457
"14",4096,1000,3.92,1046,2.9,1598.12719469372,2410.41016354168
"15",8192,1000,5.5,1490.23,3.61,1977.31112720251,4022.40663111923
"16",16384,1000,7.28,2249.55,5.04,2766.16579436097,6043.11750975356
"17",32768,1000,10.08,3250.37,7.89,3756.50578929267,8070.20677803366
"18",65536,640,14.47,4527.7,13.59,4997.78845420575,9696.49095336316
"19",131072,320,23.58,5558.99,25,5898.03356882509,10782.966716395
"20",262144,160,33.24,7886.18,18.02,8222.0619138726,11422.9267338327
"21",524288,80,55.96,9369.58,39.75,9601.81674999542,11772.2637155193
"22",1048576,40,98.79,10614.51,83.19,10762.0210811532,11955.0692212767
"23",2097152,20,184.76,11350.82,170.07,11434.6657361112,12048.6176541512
"24",4194304,10,355.07,11812.75,343.83,11857.9300167085,12095.9430394978
"25",8388608,5,698.82,12003.99,691.37,12027.3161443689,12119.7454224301
"26",16777216,2,1383.11,12130.07,1386.43,12141.979065723,12131.68177722
"27",33554432,1,2758.4,12164.46,2776.55,12170.4420279263,12137.6587757631
"28",67108864,1,5501.78,12197.66,5556.79,12200.6732936721,12140.6494841254
"29",134217728,1,11027.44,12171.25,11117.28,12172.7478380128,12142.1453910555
"30",268435456,1,22078.23,12158.38,22238.26,12159.1248905586,12142.8934827675
"31",536870912,1,44590.49,12040.03,44480.22,12040.398094307,12143.2675631926
