"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.47,0,0.79,0,0
"2",1,1000,0.48,2.1,0.79,142.857142857143,2.09114138740525
"3",2,1000,0.48,4.18,0.79,285.714285714286,4.18046670975513
"4",4,1000,0.48,8.41,0.79,571.428571428571,8.35367861411723
"5",8,1000,0.48,16.79,0.79,1142.85714285714,16.6784134159766
"6",16,1000,0.48,33.65,0.79,2285.71428571429,33.2416512121728
"7",32,1000,0.51,63.37,0.8,864.864864864864,66.027339405037
"8",64,1000,0.49,129.56,0.8,3764.70588235294,130.26784459533
"9",128,1000,0.59,215.21,0.81,1094.01709401709,253.670839871431
"10",256,1000,0.63,408.07,0.82,1630.57324840764,481.944204601236
"11",512,1000,0.98,522.96,0.85,1009.86193293886,876.166763300553
"12",1024,1000,1.05,973.56,0.91,1774.69670710572,1482.49537325771
"13",2048,1000,1.18,1733.3,1.03,2896.7468175389,2266.85445050114
"14",4096,1000,1.61,2537.63,1.26,3602.46262093228,3082.22730328274
"15",8192,1000,2.14,3827.04,1.73,4914.21715656869,3758.11147206345
"16",16384,1000,3.57,4591.34,2.66,5290.28091701647,4220.90011206969
"17",32768,1000,5.21,6292.03,4.54,6917.45830694532,4497.84103733296
"18",65536,640,9.15,7165.9,8.28,7552.84084360954,4650.40168938702
"19",131072,320,15.01,8734.81,15.77,9016.44080621861,4730.62995722828
"20",262144,160,27.44,9551.92,49.3,9720.91815923165,4771.79119095832
"21",524288,80,67.89,7722.8,108.45,7776.79220374683,4792.64158957716
"22",1048576,40,131.39,7980.76,226.75,8009.4716499767,4803.13526804623
"23",2097152,20,256.86,8164.56,463.34,8179.63469286664,4808.39935841007
"24",4194304,10,507.25,8268.68,936.51,8276.42927757179,4811.03573292676
"25",8388608,5,1050.35,7986.5,1882.87,7990.08645774696,4812.35500459637
"26",16777216,2,2276.71,7369.06,3775.59,7370.59278098019,4813.01491179421
"27",33554432,1,7867.25,4265.08,7561.02,4265.33407518734,4813.34493326646
"28",67108864,1,15876.68,4226.88,15131.88,4227.00862995802,4813.50996097499
"29",134217728,1,31711.31,4232.49,30273.59,4232.55078382195,4813.59247907286
"30",268435456,1,62298.46,4308.86,60557.03,4308.89453940141,4813.63373918276
"31",536870912,1,119845.77,4479.68,121123.91,4479.69945787693,4813.65436950296
