"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.46,0,0.77,0,0
"2",1,1000,0.45,2.2,0.77,-999.999999999995,2.19197334726261
"3",2,1000,0.46,4.37,0.77,222.222222222222,4.38193033329599
"4",4,1000,0.45,8.83,0.77,-3999.99999999998,8.75580634035784
"5",8,1000,0.46,17.53,0.77,888.888888888888,17.4794840396485
"6",16,1000,0.46,34.98,0.77,1777.77777777778,34.8311582878191
"7",32,1000,0.49,65.5,0.77,820.512820512821,69.156643969683
"8",64,1000,0.49,131.05,0.78,1641.02564102564,136.33401478494
"9",128,1000,0.58,221.4,0.78,992.248062015504,265.081362625582
"10",256,1000,0.63,408.63,0.8,1430.16759776536,502.215609003275
"11",512,1000,0.94,544.16,0.83,1047.03476482618,908.635218516829
"12",1024,1000,0.98,1042.55,0.89,1935.72778827977,1526.16030574797
"13",2048,1000,1.14,1797.46,1,2972.42380261248,2311.69556628542
"14",4096,1000,1.56,2628.55,1.24,3693.41749323715,3112.79408149219
"15",8192,1000,2.16,3800.66,1.71,4793.44645991808,3765.19173035338
"16",16384,1000,3.54,4622.84,2.64,5303.98187115571,4205.94505220184
"17",32768,1000,5.25,6242.95,4.52,6828.08918524693,4467.42332637999
"18",65536,640,9.09,7211.49,8.26,7586.06320175946,4610.74542662934
"19",131072,320,15,8739.77,15.75,9009.00405526153,4685.91119728864
"20",262144,160,27.46,9546.32,46.99,9705.80176978044,4724.42066674269
"21",524288,80,69,7597.85,106.12,7648.36832047149,4743.91373793977
"22",1048576,40,132.28,7926.74,224.39,7954.06170114315,4753.72071989379
"23",2097152,20,257.09,8157.2,460.93,8171.60291304128,4758.63943191223
"24",4194304,10,509.97,8224.59,934,8231.88929166528,4761.1026069696
"25",8388608,5,1061.72,7900.93,1880.15,7904.31832080274,4762.3351509905
"26",16777216,2,2388.66,7023.69,3772.44,7025.02000453059,4762.95166234068
"27",33554432,1,7902.26,4246.18,7557.03,4246.42407833447,4763.25997787782
"28",67108864,1,15689.49,4277.31,15126.2,4277.43624067733,4763.4141506153
"29",134217728,1,31619.75,4244.74,30264.55,4244.80403566189,4763.49124072669
"30",268435456,1,62279.89,4310.15,60541.24,4310.17781004739,4763.52978671809
"31",536870912,1,119854.88,4479.34,121094.63,4479.35813869674,4763.54905994773
