"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.65,0,0.94,0,0
"2",1,1000,0.68,1.47,0.94,90.9090909090909,1.48321868241343
"3",2,1000,0.68,2.94,0.94,181.818181818182,2.9655162515968
"4",4,1000,0.68,5.91,0.94,363.636363636363,5.92735148033934
"5",8,1000,0.68,11.78,0.94,727.272727272727,11.8400062502566
"6",16,1000,0.68,23.7,0.94,1454.54545454545,23.6214437586688
"7",32,1000,0.69,46.51,0.95,1523.80952380953,47.0103423188728
"8",64,1000,0.66,96.61,0.95,-7111.1111111111,93.1041059134002
"9",128,1000,0.71,179.1,0.96,3121.9512195122,182.647071625348
"10",256,1000,0.67,383.81,0.97,256000.000000001,351.836735224861
"11",512,1000,1.17,438.26,1,1021.95608782435,655.38481826982
"12",1024,1000,1.24,825.12,1.06,1793.34500875657,1152.58097603655
"13",2048,1000,1.35,1511.61,1.18,3007.34214390602,1856.95353457266
"14",4096,1000,1.75,2337.97,1.41,3789.0841813136,2674.04235182149
"15",8192,1000,2.3,3556.23,1.88,5022.6854690374,3428.29405577036
"16",16384,1000,3.48,4713.08,2.82,5828.53077196727,3991.17839078532
"17",32768,1000,5.32,6163.22,4.7,7045.36658783057,4348.13382977539
"18",65536,640,9.26,7073.9,8.45,7628.44837620766,4551.67590582694
"19",131072,320,15.27,8584.02,15.96,8976.91938908294,4660.76427260354
"20",262144,160,27.69,9466,45.89,9701.49143258947,4717.29309962146
"21",524288,80,68.76,7624.61,105.08,7699.81348489521,4746.07486473019
"22",1048576,40,133.91,7830.27,223.48,7869.7698155973,4760.59785560265
"23",2097152,20,258.31,8118.6,460.27,8139.82246614475,4767.89273238049
"24",4194304,10,509.88,8226.07,933.84,8236.86841014825,4771.54856089689
"25",8388608,5,1060.4,7910.79,1881,7915.78995046856,4773.37857831817
"26",16777216,2,2352.31,7132.22,3775.3,7134.2590131742,4774.29411352552
"27",33554432,1,7885.75,4255.07,7563.92,4255.43275966347,4774.75201284173
"28",67108864,1,15883.63,4225.03,15141.15,4225.21115552698,4774.98099543903
"29",134217728,1,31560.33,4252.74,30295.61,4252.82540265562,4775.09549497386
"30",268435456,1,62225.33,4313.93,60604.52,4313.97217254426,4775.15274680049
"31",536870912,1,120044.46,4472.27,121222.36,4472.29221542995,4775.18137322863
