"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.55,0,1.2,0,0
"2",1,1000,0.58,1.73,1.2,66.6666666666666,1.75356235190903
"3",2,1000,0.57,3.5,1.2,400,3.50547902369733
"4",4,1000,0.58,6.94,1.2,266.666666666667,7.00438458483334
"5",8,1000,0.57,14,1.2,1600,13.9825491402032
"6",16,1000,0.61,26.32,1.2,355.555555555555,27.8608048744922
"7",32,1000,0.72,44.39,1.2,206.451612903226,55.3090690078837
"8",64,1000,0.85,75,1.21,224.561403508772,109.004091724372
"9",128,1000,0.81,157.78,1.21,522.448979591837,211.826594508304
"10",256,1000,1.1,232.38,1.22,478.504672897196,400.917291180246
"11",512,1000,1.22,419.63,1.24,781.679389312977,724.11359225683
"12",1024,1000,1.51,677.23,1.28,1083.59788359788,1213.06494388904
"13",2048,1000,1.97,1041.26,1.36,1457.6512455516,1831.37484350423
"14",4096,1000,2.75,1491.62,1.51,1874.5995423341,2457.74096571729
"15",8192,1000,3.03,2708.07,1.82,3323.32657200811,2964.74070578613
"16",16384,1000,3.64,4495.31,2.44,5328.13008130081,3305.7022208738
"17",32768,1000,4.68,7005.95,3.69,7963.06196840826,3507.3866129016
"18",65536,640,6.54,10027.2,6.17,10968.3682008368,3617.7479283947
"19",131072,320,10.43,12567.21,11.14,13286.5686771414,3675.57463770557
"20",262144,160,17.99,14575.44,62.25,15044.1319942611,3705.18681148481
"21",524288,80,37.14,14115.62,132.63,14334.6001367054,3720.17254934603
"22",1048576,40,100.33,10451.35,273.39,10510.459580013,3727.71096808607
"23",2097152,20,239.18,8768.18,554.91,8788.85233535193,3731.49164575324
"24",4194304,10,489.75,8564.23,1117.95,8574.06502652371,3733.38486184362
"25",8388608,5,1198.16,7001.26,2244.02,7004.5449421549,3734.33219048067
"26",16777216,2,3869.69,4335.54,4496.18,4336.17833489484,3734.80603510717
"27",33554432,1,9550.81,3513.25,9000.49,3513.46295304466,3735.04300251743
"28",67108864,1,18988.08,3534.26,18009.11,3534.36792544996,3735.16149749932
"29",134217728,1,37243.96,3603.75,36026.34,3603.79949250062,3735.22074780977
"30",268435456,1,73008.84,3676.75,72060.81,3676.78124157844,3735.2503736699
"31",536870912,1,143237.09,3748.13,144129.76,3748.14253557185,3735.26518677621
