"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.43,0,0.93,0,0
"2",1,1000,0.45,2.23,0.93,37.037037037037,2.33553046231552
"3",2,1000,0.42,4.73,0.93,-666.666666666665,4.66922609560392
"4",4,1000,0.42,9.46,0.93,-1333.33333333333,9.33112151713124
"5",8,1000,0.42,19.08,0.93,-2666.66666666666,18.6329892845573
"6",16,1000,0.42,38.1,0.94,-5333.33333333332,37.1495121264237
"7",32,1000,0.57,55.8,0.94,217.687074829932,73.8374992264139
"8",64,1000,0.59,108.54,0.95,383.233532934132,145.862878587919
"9",128,1000,1.03,124.27,0.97,210.873146622735,284.737724109265
"10",256,1000,1.08,237.77,1.02,389.649923896499,543.44018797914
"11",512,1000,1.21,424.78,1.11,650.571791613723,995.82608597079
"12",1024,1000,1.46,700.53,1.28,987.463837994214,1705.83648604412
"13",2048,1000,2.07,987.55,1.63,1243.4729811779,2650.84442234941
"14",4096,1000,2.94,1391.25,2.34,1627.33412793008,3666.41361423025
"15",8192,1000,4.68,1751.19,3.75,1924.35987784825,4535.14734378366
"16",16384,1000,7.24,2264.33,6.56,2403.40325656447,5144.6427767791
"17",32768,1000,12.94,2532.15,12.19,2617.87968363026,5515.2503497156
"18",65536,640,24.1,2718.84,23.45,2767.91823288423,5721.32554947898
"19",131072,320,45.3,2893.49,45.98,2920.69434231343,5830.24803276056
"20",262144,160,14.72,17810.4,-11.14,18335.5948800448,5886.27946914041
"21",524288,80,25.8,20320.2,35.36,20659.9676872759,5914.70100379363
"22",1048576,40,58.8,17831.72,128.38,17962.1426246638,5929.01494391245
"23",2097152,20,157.29,13332.75,314.42,13368.9813663804,5936.19792590854
"24",4194304,10,324.39,12929.78,686.49,12946.7013615584,5939.79594748166
"25",8388608,5,722.47,11611.06,1430.64,11617.8143528053,5941.59659437654
"26",16777216,2,2176.43,7708.58,2918.94,7710.09284437045,5942.49732728512
"27",33554432,1,5975.63,5615.21,5895.52,5615.60996966298,5942.94779615901
"28",67108864,1,12140.4,5527.73,11848.7,5527.92348782868,5943.17305620764
"29",134217728,1,24177.91,5551.25,23755.06,5551.351470068,5943.28569263574
"30",268435456,1,47930.23,5600.55,47567.77,5600.59538733381,5943.34201245083
"31",536870912,1,94902.58,5657.07,95193.19,5657.09915318363,5943.37017275865
