#header_line 1: mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2  ./IMB-MPI1 PingPong -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.238,5594.425

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.23,0,0.44,0,0
"2",1,1000,0.24,4.24,0.44,142.857142857143,4.19852737745597
"3",2,1000,0.24,8.44,0.44,285.714285714286,8.39075762417863
"4",4,1000,0.24,16.97,0.44,571.428571428571,16.7563833087921
"5",8,1000,0.24,33.93,0.44,1142.85714285714,33.4126891606599
"6",16,1000,0.24,67.68,0.44,2285.71428571429,66.4286334759249
"7",32,1000,0.24,131.42,0.44,4571.42857142857,131.298221750828
"8",64,1000,0.24,261.87,0.44,9142.85714285714,256.574768206755
"9",128,1000,0.26,491.42,0.45,4740.74074074074,490.647190049368
"10",256,1000,0.28,909.95,0.46,5446.80851063829,902.171353260369
"11",512,1000,0.42,1213.75,0.48,2737.9679144385,1553.77668505777
"12",1024,1000,0.46,2249.11,0.51,4511.01321585903,2432.07662969964
"13",2048,1000,0.59,3442.64,0.58,5736.69467787115,3390.28655990358
"14",4096,1000,0.85,4793.41,0.73,6638.5737439222,4221.99505491796
"15",8192,1000,1.41,5790.71,1.01,6960.06796941377,4812.27057378746
"16",16384,1000,2.33,7023.34,1.58,7813.06628516929,5173.95490506558
"17",32768,1000,3.53,9295.15,2.72,9938.7321807704,5375.98095998735
"18",65536,640,5.68,11547.31,5.01,12031.5770148706,5483.02813802379
"19",131072,320,8.92,14698.54,9.58,15088.2928513871,5538.16645556779
"20",262144,160,15.68,16713.64,-142.68,16970.5444422865,5566.15357652314
"21",524288,80,41.95,12497.44,-91.52,12567.7301819402,5580.2534803785
"22",1048576,40,84.34,12432.28,10.81,12467.1668232133,5587.33025416031
"23",2097152,20,163.73,12808.66,215.46,12826.8530921057,5590.87537629674
"24",4194304,10,436.51,9608.62,624.76,9613.85541754436,5592.64962491681
"25",8388608,5,1165.07,7200.1,1443.37,7201.52948438279,5593.53717158347
"26",16777216,2,2536.7,6613.78,3080.59,6614.40342019037,5593.98105056462
"27",33554432,1,6062.74,5534.53,6355.02,5534.74527946937,5594.20301647448
"28",67108864,1,12119.97,5537.05,12903.88,5537.1551379374,5594.31400603515
"29",134217728,1,24366.88,5508.2,26001.61,5508.25593689604,5594.36950246704
"30",268435456,1,50600.46,5305,52197.07,5305.02473832775,5594.39725109588
"31",536870912,1,105933.8,5067.99,104587.98,5067.99617160064,5594.41112551353
