#header_line 1: mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.506,5586.735

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.49,0,0.7,0,0
"2",1,1000,0.51,1.97,0.7,111.111111111111,1.97558572963382
"3",2,1000,0.48,4.12,0.7,-95.2380952380951,3.94977473674452
"4",4,1000,0.56,7.14,0.7,67.7966101694915,7.89396850403731
"5",8,1000,0.49,16.4,0.7,-727.272727272726,15.765660378438
"6",16,1000,0.52,30.91,0.7,842.105263157894,31.4425903622771
"7",32,1000,0.54,59.58,0.7,820.51282051282,62.5332386676188
"8",64,1000,0.55,116.59,0.7,1306.12244897959,123.682083543668
"9",128,1000,0.51,253.14,0.7,14222.2222222222,242.006499664483
"10",256,1000,0.52,495.87,0.71,13473.6842105263,463.917016042273
"11",512,1000,0.7,732.65,0.73,2572.86432160804,856.694922711556
"12",1024,1000,0.83,1234.69,0.76,3112.46200607903,1485.5837857924
"13",2048,1000,0.91,2250.98,0.83,5007.33496332518,2347.05566389115
"14",4096,1000,1.14,3578.62,0.97,6410.01564945227,3305.45097038845
"15",8192,1000,1.53,5343.05,1.24,7961.12730806608,4153.46208200061
"16",16384,1000,2.33,7039.37,1.79,8957.90049207217,4764.64527141161
"17",32768,1000,3.5,9371.92,2.89,10926.3087695899,5143.04562337362
"18",65536,640,5.78,11329.3,5.08,12414.4724379617,5355.71676612045
"19",131072,320,8.88,14765.13,9.47,15642.9168158491,5468.78724199854
"20",262144,160,15.76,16629,-141.68,17179.6316927715,5527.13194793475
"21",524288,80,41.53,12624.35,-90.56,12778.4737624607,5556.77365003606
"22",1048576,40,85.19,12308.58,11.7,12381.4899219497,5571.71404674842
"23",2097152,20,166.4,12602.87,216.2,12641.1370773784,5579.21441314134
"24",4194304,10,427.46,9812.25,625.22,9823.66925161432,5582.97217390531
"25",8388608,5,1194.27,7024.05,1443.24,7026.99433474986,5584.85295314641
"26",16777216,2,2556.19,6563.37,3079.29,6564.65477607017,5585.79381804156
"27",33554432,1,6076.8,5521.73,6351.39,5522.18249957746,5586.26436937786
"28",67108864,1,12110.16,5541.53,12895.59,5541.76331472257,5586.49967477694
"29",134217728,1,24405.33,5499.52,25983.99,5499.63812489733,5586.61733491032
"30",268435456,1,50402.25,5325.86,52160.8,5325.91549551187,5586.6761668356
"31",536870912,1,105925.22,5068.4,104514.4,5068.41950649876,5586.70558326291
