#header_line 1: mpirun -mca pml ob1 --mca btl self,vader --report-bindings -np 2 --map-by core ./IMB-MPI1 PingPong -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.276,3846.743

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.25,0,0.6,0,0
"2",1,1000,0.28,3.59,0.6,111.111111111111,3.61977899161542
"3",2,1000,0.28,7.13,0.6,222.222222222222,7.23275197581496
"4",4,1000,0.29,14.02,0.6,210.526315789474,14.4383565589188
"5",8,1000,0.28,28.26,0.6,888.888888888888,28.768732630585
"6",16,1000,0.31,51.33,0.6,410.256410256411,57.1103526819377
"7",32,1000,0.29,109.75,0.6,1684.21052631579,112.549745002251
"8",64,1000,0.33,193.9,0.6,1084.74576271186,218.700648166102
"9",128,1000,0.36,351.69,0.61,1438.20224719101,413.871284000989
"10",256,1000,0.46,556.23,0.62,1354.49735449735,747.336591350753
"11",512,1000,0.61,841.86,0.64,1510.32448377581,1251.52896669827
"12",1024,1000,0.71,1451.3,0.68,2332.57403189066,1888.60477659864
"13",2048,1000,0.84,2437.13,0.76,3599.29701230229,2533.40431807495
"14",4096,1000,1.81,2259.67,0.91,2661.46848602989,3054.89988747881
"15",8192,1000,2.15,3807.63,1.23,4359.76583288984,3405.39648318043
"16",16384,1000,2.69,6099.88,1.86,6773.04671351798,3612.64028285885
"17",32768,1000,3.85,8514.72,3.13,9155.63006426376,3726.01829825524
"18",65536,640,5.29,12377.05,5.66,13057.5811914724,3785.41851598851
"19",131072,320,10.55,12421.23,10.73,12751.4349644907,3815.83455061274
"20",262144,160,18.92,13855.36,122.36,14056.7322644646,3831.2266031059
"21",524288,80,39.42,13300.03,188.29,13392.1172954609,3838.96928901542
"22",1048576,40,91.98,11400.12,320.15,11433.7306044118,3842.85237947877
"23",2097152,20,219.95,9534.85,583.86,9546.43821211859,3844.79687199007
"24",4194304,10,494.72,8478.22,1111.29,8482.78386648572,3845.76985637086
"25",8388608,5,1680.4,4992.02,2166.15,4992.83566916588,3846.25653325601
"26",16777216,2,4269.14,3929.88,4275.86,3930.13137671828,3846.49991789273
"27",33554432,1,9084.44,3693.62,8495.29,3693.72608545702,3846.62162176218
"28",67108864,1,18041.61,3719.67,16934.14,3719.72745481918,3846.682476585
"29",134217728,1,35107.49,3823.05,33811.84,3823.08060345082,3846.71290471847
"30",268435456,1,68671.53,3908.98,67567.25,3908.99278546793,3846.72811896573
"31",536870912,1,134041.47,4005.26,135078.06,4005.26790274384,3846.73572613449
