#header_line 1: mpirun -mca pml ucx --report-bindings -np 2 --map-by core ./IMB-MPI1 PingPong  -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.196,6065.037

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.2,0,0.42,0,0
"2",1,1000,0.2,5.05,0.42,111.111111111111,5.09775247601902
"3",2,1000,0.2,10.22,0.42,222.222222222222,10.1869426769672
"4",4,1000,0.19,21.27,0.42,-3999.99999999998,20.3397223970536
"5",8,1000,0.19,42.38,0.42,-7999.99999999996,40.5434780828508
"6",16,1000,0.19,84.31,0.42,-15999.9999999999,80.5485065585932
"7",32,1000,0.23,140.8,0.42,820.512820512821,158.985558560479
"8",64,1000,0.22,284.58,0.43,2206.89655172414,309.848907104311
"9",128,1000,0.34,379.1,0.43,859.060402684564,589.577635854755
"10",256,1000,0.35,721.38,0.45,1610.06289308176,1074.68586960806
"11",512,1000,0.41,1251.3,0.48,2337.899543379,1825.84383950649
"12",1024,1000,0.52,1987.7,0.54,3112.46200607903,2806.73616221944
"13",2048,1000,0.76,2694.94,0.66,3599.29701230228,3837.55492072434
"14",4096,1000,1.14,3601.33,0.9,4316.12223393045,4700.77173215469
"15",8192,1000,1.89,4335.49,1.37,4821.65979988228,5296.46299859278
"16",16384,1000,2.98,5488.92,2.33,5874.50699175332,5654.75390336597
"17",32768,1000,4.85,6753.91,4.23,7033.26894183301,5852.71375967865
"18",65536,640,8.38,7819.69,8.05,8002.93076077665,5956.98387398451
"19",131072,320,15.24,8599.35,15.68,8709.68170642568,6010.52468614417
"20",262144,160,12.63,20754.81,14.49,21074.3628909076,6037.65763632746
"21",524288,80,22.25,23567.01,58.12,23767.5325264065,6051.31618271922
"22",1048576,40,51.94,20187.61,145.39,20262.7297145839,6058.16865619684
"23",2097152,20,144.48,14515.25,319.92,14534.3858506192,6061.60071600699
"24",4194304,10,330.59,12687.3,668.99,12694.6631194404,6063.31820456722
"25",8388608,5,936.58,8956.66,1367.14,8958.46491148444,6064.17731387282
"26",16777216,2,2513.17,6675.72,2763.42,6676.22610455559,6064.60695982724
"27",33554432,1,5642.14,5947.12,5555.98,5947.31217882331,6064.82180563552
"28",67108864,1,11446.31,5862.92,11141.11,5863.02344052163,6064.92923424813
"29",134217728,1,22852.52,5873.21,22311.38,5873.26254580004,6064.98294998165
"30",268435456,1,44662.79,6010.27,44651.9,6010.29635557035,6065.00980820522
"31",536870912,1,89166.76,6020.98,89332.94,6020.98878560641,6065.02323740621
