#header_line 1: mpiexec -n 2 -ppn 1 ./IMB-MPI1  PingPong -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 1.216,12199.2

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,1.22,0,2.07,0,0
"2",1,1000,1.22,0.82,2.07,111.111111111111,0.822312987547323
"3",2,1000,1.21,1.65,2.07,-1999.99999999999,1.64451512302948
"4",4,1000,1.22,3.29,2.07,444.444444444444,3.28858692744681
"5",8,1000,1.21,6.6,2.07,-7999.99999999996,6.57540129729496
"6",16,1000,1.21,13.19,2.07,-15999.9999999999,13.1437180935883
"7",32,1000,1.24,25.8,2.07,1103.44827586207,26.2591439319854
"8",64,1000,1.49,42.84,2.08,229.390681003584,52.4054834580291
"9",128,1000,1.54,83.14,2.09,389.057750759878,104.362644376228
"10",256,1000,3.25,78.75,2.11,125.551741049534,206.954815466497
"11",512,1000,1.89,271.1,2.15,754.050073637703,407.004944059478
"12",1024,1000,2.1,488.55,2.23,1151.85601799775,787.728692624207
"13",2048,1000,2.85,717.94,2.39,1249.54240390482,1479.89720052162
"14",4096,1000,3.77,1086.15,2.72,1600.62524423603,2639.58375765186
"15",8192,1000,4.71,1738,3.37,2341.24035438697,4340.0873194352
"16",16384,1000,6.36,2577.24,4.67,3181.97708292872,6402.40276480976
"17",32768,1000,9.94,3296.51,7.27,3753.92370260053,8397.57578425883
"18",65536,640,12.74,5144.96,12.47,5684.44791395611,9947.54675855128
"19",131072,320,21.73,6032.06,22.87,6387.83566450607,10958.9095722533
"20",262144,160,32.73,8009.1,26.5,8317.01513372886,11545.8398665995
"21",524288,80,55.26,9487.98,47.95,9700.23497196988,11863.5295437142
"22",1048576,40,98.57,10637.62,90.83,10770.2010086381,12029.0218821626
"23",2097152,20,183.81,11409.51,176.61,11485.0136090559,12113.5116354008
"24",4194304,10,354.24,11840.39,348.15,11880.9049681471,12156.2031615904
"25",8388608,5,696.54,12043.18,691.25,12064.2285881935,12177.6619668665
"26",16777216,2,1386.02,12104.61,1377.44,12115.1841156434,12188.4198048089
"27",33554432,1,2748.42,12208.64,2749.82,12214.0077438593,12193.8058545959
"28",67108864,1,5498.62,12204.67,5494.58,12207.3624138208,12196.5006649511
"29",134217728,1,10982,12221.61,10984.11,12222.958477756,12197.8485168395
"30",268435456,1,21939.24,12235.4,21963.16,12236.079002357,12198.5225545046
"31",536870912,1,43932.88,12220.25,43921.26,12220.5899347917,12198.8596012727
