#header_line 1: mpiexec -n 2 -ppn 1 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 10.55,2452.978

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,10.59,0,11.25,0,0
"2",1,1000,10.57,0.09,11.25,40.0000000000007,0.0947830672991772
"3",2,1000,10.55,0.19,11.25,400,0.189558810047132
"4",4,1000,10.53,0.38,11.25,-266.666666666643,0.379088325285228
"5",8,1000,10.51,0.76,11.25,-228.571428571423,0.758059498493797
"6",16,1000,10.52,1.52,11.26,-639.999999999971,1.51565060583936
"7",32,1000,10.45,3.06,11.28,-336.842105263153,3.02942938247561
"8",64,1000,10.45,6.12,11.31,-673.684210526306,6.05138530128981
"9",128,1000,10.25,12.48,11.37,-433.898305084745,12.0729870958679
"10",256,1000,10.32,24.81,11.49,-1137.77777777778,24.0277153821045
"11",512,1000,12.86,39.8,11.72,221.166306695464,47.5892784051682
"12",1024,1000,13.34,76.75,12.2,366.368515205725,93.3671765393186
"13",2048,1000,15.2,134.73,13.16,439.957035445757,179.887340667222
"14",4096,1000,17.71,231.22,15.07,571.667829727844,335.193514393895
"15",8192,1000,17.72,462.3,18.89,1141.74216027875,589.79322164257
"16",16384,1000,29.4,557.33,26.53,868.947228851764,950.942236508153
"17",32768,1000,42.04,779.51,41.82,1040.4191141451,1370.56118352061
"18",65536,640,71.99,910.36,72.39,1066.57986817479,1758.55741668913
"19",131072,320,133.27,983.5,133.53,1068.01385210837,2048.51792652505
"20",262144,160,194.43,1348.26,86.57,1425.5866438263,2232.57770267212
"21",524288,80,280.34,1870.21,194.17,1943.28286291444,2337.59438156528
"22",1048576,40,468.19,2239.62,409.39,2291.24321253373,2393.8968099862
"23",2097152,20,847.98,2473.12,839.81,2504.25644975431,2423.07748126154
"24",4194304,10,1624.42,2582.03,1700.65,2598.9026411587,2437.93622859352
"25",8388608,5,3276.96,2559.87,3422.33,2568.13907602065,2445.43414981769
"26",16777216,2,6805.3,2465.32,6865.71,2469.14215450005,2449.20043207038
"27",33554432,1,13607.26,2465.92,13752.45,2467.83373778152,2451.08792696772
"28",67108864,1,27292.79,2458.85,27525.93,2459.79991749213,2452.03276579613
"29",134217728,1,54773.16,2450.43,55072.9,2450.90063723217,2452.50545842345
"30",268435456,1,109829.12,2444.12,110166.84,2444.35384451128,2452.74187308648
"31",536870912,1,220641.16,2433.23,220354.71,2433.34730313832,2452.86009751111
