#header_line 1: mpirun -mca pml ob1 --mca btl self,tcp --report-bindings -np 2 --map-by node ./IMB-MPI1 PingPong  -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 16.704,2444.357

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,16.74,0,21.62,0,0
"2",1,1000,16.7,0.06,21.63,1000.00000000134,0.0598644342148431
"3",2,1000,16.74,0.12,21.63,48.7804878048807,0.119725936236716
"4",4,1000,16.66,0.24,21.63,-102.564102564101,0.239440144563234
"5",8,1000,16.68,0.48,21.63,-421.052631578927,0.478833384377934
"6",16,1000,16.79,0.95,21.64,175.824175824179,0.957479204880925
"7",32,1000,16.88,1.9,21.65,176.795580110499,1.91420859491346
"8",64,1000,17.09,3.74,21.67,163.682864450128,3.82542145081707
"9",128,1000,17.68,7.24,21.72,130.479102956167,7.63888803165334
"10",256,1000,17.54,14.6,21.82,304.399524375744,15.2301800468716
"11",512,1000,17.99,28.46,22.01,396.591789310613,30.271744363772
"12",1024,1000,18.42,55.59,22.4,595.002905287623,59.8028696489454
"13",2048,1000,39.89,51.35,23.17,88.3101203052909,116.749385166787
"14",4096,1000,40.35,101.52,24.72,173.185066170564,222.854604367027
"15",8192,1000,41.39,197.91,27.82,331.780810821757,408.468683225674
"16",16384,1000,43.54,376.28,34.02,610.409448232182,699.967945114417
"17",32768,1000,54.76,598.42,46.41,860.933764220593,1088.29177921565
"18",65536,640,63.51,1031.83,71.19,1400.01281750016,1506.05037923036
"19",131072,320,119.78,1094.29,120.75,1271.54373744919,1863.76960249253
"20",262144,160,165.59,1583.11,295.96,1760.64369236556,2114.94156315545
"21",524288,80,244.79,2141.83,399.07,2298.59135169735,2267.74878453658
"22",1048576,40,393.73,2663.17,605.31,2781.14001235973,2352.74312818774
"23",2097152,20,724.88,2893.11,1017.78,2961.32203490351,2397.67509381757
"24",4194304,10,1574.19,2664.43,1842.73,2692.98763203126,2420.79085391521
"25",8388608,5,3428.57,2446.68,3492.61,2458.65333126604,2432.51668622193
"26",16777216,2,7106.43,2360.85,6792.39,2366.41079894287,2438.42230400454
"27",33554432,1,14290.01,2348.1,13391.94,2350.85131964125,2441.38587912484
"28",67108864,1,27592.69,2432.12,26591.04,2433.59754505287,2442.87036969849
"29",134217728,1,53550.01,2506.4,52989.25,2507.18151918532,2443.61329217725
"30",268435456,1,109448.64,2452.62,105785.66,2452.989991286,2443.98492289485
"31",536870912,1,209220.59,2566.05,211378.48,2566.25681976441,2444.17078064576
