#header_line 1: mpirun -mca pml ucx  --report-bindings -np 2 --map-by node ./IMB-MPI1 PingPong  -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.986,12162.93

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.99,0,1.71,0,0
"2",1,1000,0.98,1.02,1.71,-999.999999999995,1.01411422164199
"3",2,1000,0.99,2.01,1.71,222.222222222222,2.02805934884474
"4",4,1000,0.99,4.04,1.71,444.444444444444,4.05544248907414
"5",8,1000,0.98,8.12,1.71,-7999.99999999996,8.10818149603106
"6",16,1000,0.99,16.23,1.71,1777.77777777778,16.2055598697332
"7",32,1000,1,31.96,1.71,1684.21052631579,32.367993497969
"8",64,1000,1.17,54.61,1.72,338.624338624339,64.564168807708
"9",128,1000,1.2,106.82,1.73,584.474885844749,128.446508315597
"10",256,1000,1.42,180.73,1.74,583.143507972665,254.208450669471
"11",512,1000,1.49,343.11,1.78,1005.89390962672,498.0083943148
"12",1024,1000,1.66,618.16,1.85,1508.10014727541,956.839224837113
"13",2048,1000,2.31,884.71,2,1541.00827689992,1774.11177186199
"14",4096,1000,3.2,1281.2,2.29,1845.87652095539,3096.55343602381
"15",8192,1000,4.47,1833.66,2.87,2347.95070220694,4936.36142291735
"16",16384,1000,6.28,2610.44,4.04,3091.90413285526,7022.5855512556
"17",32768,1000,8.47,3870.71,6.36,4375.48404326345,8904.13564866056
"18",65536,640,12.4,5286.89,11.02,5739.20658551537,10281.4867918778
"19",131072,320,18.7,7010.97,20.33,7397.25718155652,11143.3507321775
"20",262144,160,32.7,8017.5,16.87,8264.57328415145,11630.8386119968
"21",524288,80,54,9709.67,38.56,9888.68141609611,11890.9348229677
"22",1048576,40,96.95,10815.56,81.93,10926.1949171087,12025.39458426
"23",2097152,20,182.27,11505.69,168.69,11568.0046776142,12093.7712772311
"24",4194304,10,353.2,11875.18,342.2,11908.2275516085,12128.2520487686
"25",8388608,5,691.69,12127.7,689.22,12144.9235495701,12145.5662713628
"26",16777216,2,1379.74,12159.73,1383.26,12168.3455919417,12154.2419341651
"27",33554432,1,2749.4,12204.26,2771.34,12208.6304890193,12158.5844150417
"28",67108864,1,5510.92,12177.43,5547.5,12179.6019883342,12160.7568193027
"29",134217728,1,11004.49,12196.63,11099.83,12197.7205635039,12161.8433125708
"30",268435456,1,22034.01,12182.78,22204.48,12183.3205956385,12162.386632012
"31",536870912,1,44528.66,12056.75,44413.77,12057.0154128177,12162.6583099372
