#header_line 1: mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.434,4201.193

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.43,0,0.61,0,0
"2",1,1000,0.43,2.33,0.61,1000,2.30288444682847
"3",2,1000,0.43,4.6,0.61,2000.00000000001,4.60324562421612
"4",4,1000,0.44,9.18,0.61,363.636363636363,9.19641474098399
"5",8,1000,0.44,18.35,0.61,727.272727272727,18.35265550799
"6",16,1000,0.44,36.76,0.61,1454.54545454545,36.5456635254273
"7",32,1000,0.47,67.96,0.61,780.487804878049,72.4609977533194
"8",64,1000,0.47,135.25,0.62,1560.9756097561,142.464802767763
"9",128,1000,0.57,225.34,0.62,907.801418439717,275.584385726917
"10",256,1000,0.61,419.59,0.64,1414.36464088398,517.239566823846
"11",512,1000,0.81,631.56,0.67,1343.83202099738,921.078445262696
"12",1024,1000,0.89,1156.03,0.74,2221.25813449024,1510.90328314258
"13",2048,1000,1.06,1928.72,0.88,3245.64183835182,2222.5103063352
"14",4096,1000,1.45,2816.72,1.15,4011.75318315377,2907.10655596866
"15",8192,1000,1.96,4169.4,1.69,5350.75114304376,3436.35380398236
"16",16384,1000,3.19,5129.15,2.76,5934.08185440058,3780.47727436726
"17",32768,1000,5.03,6514.52,4.92,7121.93001521408,3979.74727410241
"18",65536,640,9.1,7199.85,9.23,7558.06712028601,4087.47319375815
"19",131072,320,17.81,7360.31,17.86,7541.10810655313,4143.55314589336
"20",262144,160,35.14,7460.15,88.86,7552.18806718331,4172.17416878379
"21",524288,80,82.52,6353.79,150.37,6386.66845330182,4186.63346591875
"22",1048576,40,167.88,6246.08,273.38,6261.98708876029,4193.90076287613
"23",2097152,20,335.06,6259.01,519.42,6267.05834187508,4197.54388068437
"24",4194304,10,669.11,6268.47,1011.49,6272.5036302811,4199.36781412152
"25",8388608,5,1428.57,5872.02,1995.63,5873.79537454635,4200.28037537637
"26",16777216,2,3916.86,4283.33,3963.91,4283.80226793221,4200.73680475092
"27",33554432,1,8056.65,4164.81,7900.47,4165.03370500884,4200.96505663912
"28",67108864,1,16169.39,4150.37,15773.59,4150.47472747321,4201.07919188522
"29",134217728,1,32232.93,4163.99,31519.82,4164.04944810209,4201.136261834
"30",268435456,1,64735.09,4146.68,63012.3,4146.70366467201,4201.16479738984
"31",536870912,1,124912.38,4297.98,125997.25,4297.99476913142,4201.17906531313
