#header_line 1: mpirun -mca pml ob1 --mca btl self,vader --report-bindings -np 2 --map-by socket ./IMB-MPI1 PingPong  -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.59,3282.232

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.55,0,1.19,0,0
"2",1,1000,0.6,1.66,1.19,66.6666666666666,1.69404046679994
"3",2,1000,0.6,3.33,1.19,133.333333333333,3.38633316379076
"4",4,1000,0.6,6.65,1.19,266.666666666667,6.76568605641379
"5",8,1000,0.6,13.31,1.19,533.333333333333,13.5035371814458
"6",16,1000,0.64,25,1.19,290.909090909091,26.8964189217641
"7",32,1000,0.76,41.85,1.2,182.857142857143,53.3556124886284
"8",64,1000,0.83,76.87,1.2,261.224489795918,105.00428635099
"9",128,1000,1.07,119.29,1.2,263.917525773196,203.498308696157
"10",256,1000,1.16,220.04,1.21,445.217391304348,383.235992252161
"11",512,1000,1.23,416.18,1.23,793.798449612403,686.334965480223
"12",1024,1000,1.36,752.24,1.27,1321.29032258064,1135.27657033245
"13",2048,1000,1.63,1259.08,1.35,1959.80861244019,1687.03282921378
"14",4096,1000,2.64,1548.7,1.51,1993.18734793187,2228.5924121536
"15",8192,1000,3.26,2514.65,1.83,3062.42990654206,2654.6870241699
"16",16384,1000,3.65,4493.79,2.46,5345.51386623165,2935.29295904565
"17",32768,1000,4.83,6782.63,3.73,7719.19905771496,3099.08269965865
"18",65536,640,6.11,10723.79,6.28,11861.7194570136,3188.02892022257
"19",131072,320,10.89,12031.64,11.36,12719.262493935,3234.44452837237
"20",262144,160,19.04,13771.55,111.23,14204.4974261718,3258.16288468724
"21",524288,80,38.4,13651.64,192.06,13864.5511040592,3270.15298887885
"22",1048576,40,89.63,11698.78,353.7,11775.7987534393,3276.18119484446
"23",2097152,20,212.67,9861.21,677,9888.26178183276,3279.20363982047
"24",4194304,10,425.61,9854.71,1323.59,9868.37009587671,3280.7169545438
"25",8388608,5,1127.08,7442.79,2616.77,7446.64468106827,3281.47413580935
"26",16777216,2,4149.47,4043.22,5203.13,4043.78911442472,3281.85285752391
"27",33554432,1,10926.06,3071.05,10375.86,3071.210359275,3282.04225116487
"28",67108864,1,21843.12,3072.31,20721.31,3072.39356603984,3282.13695618293
"29",134217728,1,42548.5,3154.46,41412.22,3154.50775907586,3282.18431074156
"30",268435456,1,88025.61,3049.52,82794.04,3049.53569737697,3282.2079885333
"31",536870912,1,162548.96,3302.83,165557.66,3302.83776752613,3282.21982755728
