#header_line 1: mpirun -mca pml ucx --report-bindings -np 2 --map-by core ./IMB-MPI1 PingPong  -msglog 29 2> /dev/null
#header_line 2: THIN
#header_line 3: 0.196 - 6065.037

"","#bytes","#repetitions","t[usec]","Mbytes/sec","Estimated_Time [usec]","Estimated_B [Mbytes/sec]","Estimated_Beff [Mbytes/sec]"
"1",0,1000,0.41,0,0.91,0,0
"2",1,1000,0.41,2.41,0.91,90.9090909090913,2.47411679355567
"3",2,1000,0.4,4.99,0.91,2000.00000000001,4.94597418991604
"4",4,1000,0.4,9.98,0.91,4000.00000000001,9.88292315962966
"5",8,1000,0.4,20.03,0.91,8000.00000000003,19.72984407168
"6",16,1000,0.4,39.98,0.92,16000.0000000001,39.3164632068255
"7",32,1000,0.56,57.27,0.92,198.757763975155,78.0662199884649
"8",64,1000,0.55,115.89,0.93,423.841059602649,153.913928817177
"9",128,1000,0.88,145.37,0.96,266.112266112266,299.3216382365
"10",256,1000,0.92,278.92,1,491.362763915547,567.291309942419
"11",512,1000,1.09,468.44,1.1,740.95513748191,1027.01008971611
"12",1024,1000,1.31,780.46,1.29,1124.03951701427,1726.61169406611
"13",2048,1000,2.08,986.33,1.66,1218.32242712671,2618.46324829098
"14",4096,1000,3.06,1339.09,2.42,1539.27095077039,3530.19362915746
"15",8192,1000,4.95,1654.17,3.93,1800.04394638541,4274.34133851785
"16",16384,1000,7.96,2057.05,6.95,2166.90913900278,4777.92282738159
"17",32768,1000,13.88,2360.95,12.99,2430.68021660114,5076.9959446503
"18",65536,640,25.86,2534.1,25.06,2573.97588468638,5241.0264420377
"19",131072,320,48.37,2709.56,49.21,2732.31744178775,5327.08164689603
"20",262144,160,14.68,17858.93,16.06,18356.1375253834,5371.17776124368
"21",524288,80,25.88,20261.64,68.19,20575.6445979357,5393.5007178033
"22",1048576,40,53.77,19500.66,172.43,19646.924359671,5404.73192269819
"23",2097152,20,142.68,14698.38,380.93,14739.5084375286,5410.36508397818
"24",4194304,10,311.54,13463.05,797.93,13480.3963476366,5413.186070348
"25",8388608,5,658.82,12732.82,1631.92,12740.4927850114,5414.59766697591
"26",16777216,2,2208.25,7597.5,3299.91,7598.88959898109,5415.30374140242
"27",33554432,1,6339.73,5292.72,6635.88,5293.05568679093,5415.65684767532
"28",67108864,1,14183.06,4731.62,13307.83,4731.75407633307,5415.83341808063
"29",134217728,1,26782.8,5011.34,26651.73,5011.41507066525,5415.92170760099
"30",268435456,1,56467.5,4753.8,53339.52,4753.83809769161,5415.96585344065
"31",536870912,1,105081.74,5109.08,106715.1,5109.09840787053,5415.98792663037
