"","N_Procs","MeanT","MeanJ","MLUPs","Est_P","Est_B","Est_P1","Ideal"
"1",1,22.0737365038,21.7267170354,78.28307947246,78.2830763474287,0,78.2830763474287,78.28307947246
"2",4,5.6301732347,5.4970040366,306.9176563403,312.92849086916,692.056540559795,311.254530135129,313.13231788984
"3",8,2.94874823375,2.8563917787,586.0083132884,625.653366144112,1496.83087883667,623.655238912126,626.26463577968
"4",12,2.03576296365,1.966212109,848.8226654905,938.480049216168,1987.64843715286,936.446321827957,939.39695366952
"5",4,5.55944706045,5.4448834362,310.8222537078,312.89859641271,804.455845664357,311.515526656411,313.13231788984
"6",8,2.823336463,2.73577964755,612.0383706996,625.563745396855,1578.90683805997,623.790308663621,626.26463577968
"7",12,1.92540680045,1.8445816222,897.4627665992,938.345618095282,1710.41246468528,935.969769909764,939.39695366952
"8",12,1.8837519003,1.8179498487,917.3085204294,938.912466466202,2101.10728901294,936.604886687773,939.39695366952
"9",24,0.9668219759,0.9203688259,1787.258964817,1877.8249329324,2976.42513685764,1874.84830144192,1878.79390733904
"10",48,0.5202145848,0.48431263,3321.54964613,3755.64986586481,3851.36336201378,3751.48603878401,3757.58781467808
