Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
22.077705381,22.077705381,21.722919227,21.722919227,12019999.9907,78.2690035119
22.074762847,22.074762847,21.728609746,21.728609746,1999999.99988,78.279436657
22.066898603,22.066898603,21.720975647,21.720975647,425925.925769,78.307334034
22.078150414,22.078150414,21.7320931,21.7320931,126543.209762,78.2674258304
22.071199239,22.071199239,21.725336046,21.725336046,51826.1316912,78.2920756271
22.076663134,22.076663134,21.730673461,21.730673461,26702.1350987,78.272698619
22.066972426,22.066972426,21.721141389,21.721141389,15893.9988922,78.3070720641
22.078415962,22.078415962,21.730969581,21.730969581,10378.2429895,78.2664844695
22.069529683,22.069529683,21.723424052,21.723424052,7222.26329851,78.2979984087
22.077067349,22.077067349,21.731028105,21.731028105,5266.18987139,78.2712655029
