Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
2.035480262,2.035374975,1.961098214,1.968647986,12019999.9905,848.939698537
2.033043645,2.033040085,1.961492436,1.968770066,1999999.99999,849.957158691
2.033504594,2.033494949,1.961645396,1.969264237,425925.925796,849.764492836
2.033930432,2.033915656,1.961140139,1.969472629,126543.209847,849.586580157
2.049726879,2.049716741,1.961691777,1.98243921,51826.1316865,843.039147168
2.034676258,2.034673532,1.961598046,1.97032298,26702.1350983,849.275157758
2.033712492,2.033706042,1.961036447,1.969549197,15893.9988843,849.677624933
2.033908142,2.033904327,1.961130087,1.969720973,10378.2429902,849.595890944
2.035243337,2.035235732,1.962171597,1.970945026,7222.2633036,849.038524576
2.034491269,2.034479924,1.961853351,1.970252386,5266.18987001,849.352379305
