Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
1.886349073,1.88599449,1.81024398,1.825767607,12019999.9905,916.055265027
1.884380651,1.884368217,1.810526242,1.825586249,1999999.99999,917.012175371
1.883713629,1.88371018,1.810514517,1.825549321,425925.925796,917.336888897
1.883339981,1.883332928,1.810426544,1.825187009,126543.209847,917.518885296
1.883406133,1.883400328,1.810517324,1.825305751,51826.1316865,917.486658731
1.883443067,1.883438551,1.810544096,1.825285383,26702.1350983,917.468666973
1.883093128,1.883089197,1.810885651,1.824966817,15893.9988843,917.639162029
1.883194981,1.883189437,1.810384888,1.825030241,10378.2429902,917.58953132
1.882989751,1.882983924,1.811239422,1.82488827,7222.2633036,917.689540839
1.883813143,1.883807217,1.810566857,1.825580805,5266.18987001,917.288429811
