Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
2.824867654,2.824591572,2.728167295,2.738325467,12019999.9905,611.710073409
2.823136973,2.823133014,2.731248019,2.738951023,1999999.99999,612.085072926
2.823620365,2.823615716,2.730592582,2.739355079,425925.925796,611.980286521
2.824880177,2.824871357,2.733709247,2.740733087,126543.209849,611.707361632
2.822480923,2.822477511,2.73228532,2.738302942,51826.1316872,612.227344362
2.822395871,2.822387268,2.733391381,2.738353379,26702.1350985,612.245793638
2.821787341,2.821783653,2.733260694,2.737690097,15893.9988845,612.377826951
2.822488995,2.822485145,2.733550111,2.73839339,10378.2429902,612.225593461
2.823538037,2.823533833,2.734534523,2.739273458,7222.26330355,611.998130486
2.824331376,2.824322479,2.735245884,2.740229973,5266.1898701,611.82622361
