Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
15.234425966,15.234425966,15.045475996,15.045475996,12019999.9907,113.427312841
15.231592396,15.231592396,15.045795,15.045795,1999999.99988,113.448413999
15.230368154,15.230368154,15.044574597,15.044574597,425925.925769,113.457533168
15.232394392,15.232394392,15.04653444,15.04653444,126543.209762,113.442440862
15.230014706,15.230014706,15.044238262,15.044238262,51826.1316912,113.460166215
15.230523704,15.230523704,15.044815485,15.044815485,26702.1350987,113.456374422
15.22986364,15.22986364,15.043984936,15.043984936,15893.9988922,113.461291634
15.23195309,15.23195309,15.046068053,15.046068053,10378.2429895,113.44572753
15.232632795,15.232632795,15.046728483,15.046728483,7222.26329851,113.440665396
15.231433862,15.231433862,15.045674388,15.045674388,5266.18987139,113.449594809
