Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
3.833246206,3.833203055,3.759786786,3.770336412,12019999.9905,450.792854708
3.828644315,3.828643499,3.75849243,3.769001444,1999999.99999,451.334691298
3.829190859,3.829190617,3.759645638,3.769520747,425925.925763,451.270271874
3.82848129,3.828480307,3.758089385,3.768822903,126543.209842,451.353910104
3.829250142,3.829249449,3.75942674,3.769590399,51826.1316899,451.263285479
3.827960651,3.82796011,3.757964218,3.768278432,26702.1351013,451.415298522
3.829574966,3.829574308,3.759572275,3.769892744,15893.9988852,451.225009392
3.829775876,3.82977439,3.757826418,3.770041241,10378.2429891,451.201338133
3.82940397,3.829399731,3.759966927,3.76975556,7222.26330259,451.245158134
3.827694687,3.827693913,3.757377978,3.768048099,5266.18987024,451.446664717
