Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
1.309088787,1.309045379,1.254560802,1.265198503,12019999.9905,1320.00213978
1.307019066,1.307011465,1.254486627,1.265223173,1999999.99999,1322.09242004
1.306964186,1.306957121,1.254441753,1.265140701,425925.925796,1322.14793528
1.306963048,1.306957455,1.254479334,1.265169798,126543.209847,1322.1490865
1.307012655,1.307007037,1.254483405,1.265216298,51826.1316865,1322.098905
1.306977095,1.306971698,1.254423939,1.265139195,26702.1350983,1322.13487643
1.306941233,1.306936956,1.254338881,1.265138618,15893.9988843,1322.17115534
1.307003308,1.306996601,1.254467769,1.265212701,10378.2429902,1322.10835996
1.307056663,1.307051819,1.254333733,1.265228171,7222.2633036,1322.05439054
1.307037716,1.307031064,1.254560257,1.265254177,5266.18987001,1322.07355522
