Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
3.858672803,3.858619829,3.758120827,3.795764421,12019999.9905,447.822370079
3.854770912,3.854769244,3.756320321,3.795794882,1999999.99999,448.275666557
3.854682159,3.854680729,3.757519679,3.795674665,425925.925763,448.285987981
3.854408591,3.854407281,3.756451893,3.795436916,126543.209842,448.317805236
3.854608971,3.854608215,3.757553488,3.795651625,51826.1316899,448.29449965
3.853788659,3.853787523,3.75676418,3.794816109,26702.1351013,448.389922983
3.854846655,3.854845757,3.757921669,3.795872662,15893.9988852,448.266858491
3.853782413,3.853780926,3.757201497,3.794812739,10378.2429891,448.390649708
3.854773549,3.854772372,3.758157329,3.795781686,7222.26330259,448.275359897
3.854368134,3.85436691,3.756960583,3.795379924,5266.18987024,448.32251096
