"","N_Procs","MeanT","MeanJ","MLUPs","Est_P","Est_B","Est_P1","Ideal"
"1",1,15.2315202705,15.045388964,113.4489520876,113.44895120855,0,113.44895120855,113.4489520876
"2",4,3.82931961705,3.7640718388,451.2548482361,453.33423091664,1412.47885913151,451.860156208934,453.7958083504
"3",8,1.95305017125,1.8931075861,884.7693116838,906.207591785772,2306.25208783568,904.033847545999,907.5916167008
"4",12,1.30685204745,1.2636654168,1322.196667995,1359.31138767866,3201.07779622508,1357.53832359551,1361.3874250512
"5",4,3.8548670816,3.77639785475,448.2641631542,453.245040298825,1174.49733720292,451.4699374024,453.7958083504
"6",8,1.931347788,1.8820486936,894.6593285166,905.940318135016,2804.2461869798,904.663530789042,907.5916167008
"7",12,1.2933228818,1.2565337651,1336.030601566,1358.91047720252,3757.88063165569,1358.10714036118,1361.3874250512
"8",12,1.3072015176,1.25982489175,1321.903282409,1360.37183703778,2918.25899248161,1357.16604023643,1361.3874250512
"9",24,0.65645183665,0.629810932,2632.071703994,2720.74367407557,5190.16553063185,2718.02083645196,2722.7748501024
"10",48,0.34536672405,0.31904932915,5003.949902396,5441.48734815114,5253.98061148132,5436.1569325181,5445.5497002048
