"","N_Procs","MeanT","MeanJ","MLUPs","Est_P","Est_B","Est_P1","Ideal"
"1",1,0.0161457022,0.0152273823,107.0359888852,107.025385368498,0,107.025385368498,107.0359888852
"2",4,0.0042741634,0.00381378785,404.4482202971,424.008447656086,2005.25879990613,416.233146927185,428.1439555408
"3",8,0.0023127016,0.001897718,743.256568252,843.982223526544,3340.68296474014,834.74803923881,856.2879110816
"4",12,0.00172627515,0.00127274405,1050.635941632,1265.97333528982,3056.00622166081,1249.21432365192,1284.4318666224
"5",4,0.00422533575,0.0038049944,409.0891407101,423.208138081729,2200.96538220101,417.239033516847,428.1439555408
"6",8,0.0022869165,0.0018895232,752.7504953248,841.606296860619,3500.01886222549,835.635628168863,856.2879110816
"7",12,0.0016671532,0.0012600189,1037.1073288613,1262.40944529093,3415.77666790294,1252.71581097294,1284.4318666224
"8",12,0.0018637048,0.0012622742,1075.6674857478,1274.86363389039,2321.35366622414,1238.18209646012,1284.4318666224
"9",24,0.0011145108,0.0006327793,1935.6871661267,2549.72726778078,2905.32780037641,2494.19127138062,2568.8637332448
"10",48,0.00716671445,0.00032619095,3259.9797660878,5099.45453556156,202.264724053283,3608.42189068038,5137.7274664896
