Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.996181067,0.996181067,0.965360099,0.965360099,1927999.99849,111.015962523
0.994144902,0.994144902,0.965164258,0.965164258,319999.999997,111.243340661
0.994212861,0.994212861,0.965189035,0.965189035,68148.1481252,111.23573667
0.994171383,0.994171383,0.965183222,0.965183222,20246.9135754,111.240377556
0.994222131,0.994222131,0.965190423,0.965190423,8292.18106992,111.234699522
0.994150206,0.994150206,0.965189171,0.965189171,4272.34161582,111.242747155
0.994111864,0.994111864,0.965115127,0.965115127,2543.03982154,111.247037688
0.994160334,0.994160334,0.965162562,0.965162562,1660.51887843,111.24161387
0.994126181,0.994126181,0.965146916,0.965146916,1155.56212852,111.245435553
0.994173257,0.994173257,0.965158035,0.965158035,842.590379268,111.240167869
