Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.340393208,0.339217473,0.322642204,0.32455745,7695999.99383,2599.15879403
0.337611312,0.337599646,0.322504729,0.324457729,1280000,2620.57569919
0.33782131,0.337814284,0.32263031,0.324654476,272592.59251,2618.94668516
0.337677866,0.337672655,0.322562895,0.324514209,80987.6542978,2620.05920163
0.337772941,0.337757979,0.322633544,0.324613919,33168.7242799,2619.32171766
0.337695465,0.337676821,0.322559565,0.324513002,17089.3664635,2619.92265724
0.33776654,0.337759318,0.322698211,0.324577313,10172.1592861,2619.37135632
0.337668497,0.337659224,0.322527916,0.324504376,6642.07551377,2620.13189818
0.337757997,0.337751692,0.322647643,0.324605945,4622.2485142,2619.43760876
0.337651527,0.337646949,0.322560161,0.3244926,3370.36151695,2620.26358317
