Maxtime,Mintime,Jacobimin,Jacobimax,Residual,MLUPs
0.669759813,0.669713236,0.643036475,0.645184167,7695999.99384,1320.97504632
0.667163691,0.667158202,0.64303693,0.645268723,1280000,1326.11533262
0.667120462,0.667116123,0.64302067,0.645162461,272592.592508,1326.20126408
0.667164129,0.667159659,0.643041167,0.645271484,80987.6542988,1326.11446201
0.667119508,0.667115652,0.643005002,0.645191915,33168.7242792,1326.20316059
0.667160048,0.667151909,0.643010303,0.645245371,17089.366463,1326.12257381
0.667079243,0.667074061,0.64297877,0.645140997,10172.159286,1326.2832104
0.667131213,0.667125752,0.642991946,0.645188258,6642.07551374,1326.17989199
0.667173905,0.667166564,0.643053359,0.645208496,4622.24851422,1326.09503065
0.66720812,0.667203873,0.643018367,0.645278882,3370.36151692,1326.02702737
